username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
singpropnet,2014-09-24 00:03:00,0.0,0.0,WATERVIEW Condo | Tampines Avenue 1 | Tampines West | Tampines | East Region | District 18 | Singapore Essential... http:// fb.me/6J9rILOpq,,,,5.14444970104e+17,https://twitter.com/singpropnet/status/514444970103951360,tampines mrt station,tampines
hookedtechsg,2014-09-24 00:04:00,0.0,0.0,Yup its hugs galore @#Orchard MRT ! Come play the interactive game where you choose a care or share thought from... http:// fb.me/1oJvznEHd,,@,#Orchard,5.14445241479e+17,https://twitter.com/hookedtechsg/status/514445241479200768,orchard mrt station,orchard mrt
aungmyotunamt,2014-09-24 00:04:00,0.0,0.0,ကၽြန္ေတာ္ အေတြ႕အႀကံဳေလး တခုကိုေျပာျပမယ္.. ရယ္လဲရယ္ရတယ္ ကၽြန္ေတာ္ Tanjong Pagar နားမွာ အလုပ္လုပ္တုန္းကေပါ့........ http:// fb.me/3tj3uKtjz,,,,5.14445211851e+17,https://twitter.com/aungmyotunamt/status/514445211851038720,tanjong pagar mrt station,tanjong pagar
HMRHaa,2014-09-24 00:04:00,0.0,0.0,Gym today was tiring. I actually slept at bedok stadium while Afiqul was coaching right aft I laid down. Never has that ever happened.,,,,5.14445158554e+17,https://twitter.com/HMRHaa/status/514445158553636864,bedok mrt station,bedok
nrlainmzln,2014-09-24 00:06:00,0.0,0.0,@qannn I'll be so closer to uolls lorrrr but guess what your tok lan wants Tampines apparently but im like no i want pasir ris,,@qannn,,5.14445700718e+17,https://twitter.com/nrlainmzln/status/514445700717760513,pasir ris mrt station,pasir ris
sialazai,2014-09-24 00:07:00,0.0,0.0,"""@paistulang_: She's in hougang now !! https://twitter.com/paistulang_/status/514353628627230720/photo/1 pic.twitter.com/zA2v0KHwdK "" berhati-hati siapa tinggal di estate perumahan sengkang. Da sampai hgg geng.",,@paistulang_,,5.14445844234e+17,https://twitter.com/sialazai/status/514445844234264576,hougang mrt station,hougang
geraldwoo,2014-09-24 00:09:00,0.0,0.0,Punggol is so empty at night it's scary,,,,5.14446486995e+17,https://twitter.com/geraldwoo/status/514446486994563073,punggol mrt station,punggol
jingyongtay,2014-09-24 00:09:00,0.0,0.0,Bishan park is gorgeous at night,,,,5.14446435094e+17,https://twitter.com/jingyongtay/status/514446435094261760,bishan mrt station,bishan
Joe_Vampiry,2014-09-24 00:11:00,0.0,0.0,Slacking at bukit Gombak later with the Fags,,,,5.14446912268e+17,https://twitter.com/Joe_Vampiry/status/514446912267628544,bukit gombak mrt station,bukit gombak
tks,2014-09-24 00:11:00,0.0,0.0,I'm back here! (@Singapore Changi Airport (SIN) - @fansofchangi in Singapore) https://www. swarmapp.com/tks/checkin/54 219bb0498eb4bd79b1ffcb?s=bmK_-5wK-irUNIHvvJUnGPW9LeI&ref=tw …,,@Singapore @fansofchangi,,5.14446964231e+17,https://twitter.com/tks/status/514446964231270401,changi airport mrt station,changi airport
lasercorndog,2014-09-24 00:11:00,0.0,0.0,I'm going to make a suprise for someone. Where do you... — botanic gardens or gardens by the bay sounds awesome ... http:// ask.fm/a/b7h17ipc,,,,5.14447050944e+17,https://twitter.com/lasercorndog/status/514447050944294912,gardens by the bay mrt station,gardens by the bay
vearose,2014-09-24 00:12:00,0.0,0.0,"For the first time i've been there, Boon keng #latepost #singapore @Boon Keng MRT Station http:// instagram.com/p/tS1VhGv9iV/",,@Boon,#latepost #singapore,5.14447135124e+17,https://twitter.com/vearose/status/514447135123984384,boon keng mrt station,boon keng mrt
undergroundfox_,2014-09-24 00:12:00,0.0,0.0,I'm at Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore https://www. swarmapp.com/undergroundfox _/checkin/54219bd5498ecb599c7bbca3?s=yxeJX5jNQzh5DDBRQNkkMJVlXE0&ref=tw …,,@smrt_singapore,,5.14447117915e+17,https://twitter.com/undergroundfox_/status/514447117914734592,choa chu kang mrt station,choa chu kang
danetellechua,2014-09-24 00:13:00,0.0,0.0,Arrived finally. #backtoreality @Changi Airport Arrivals Terminal 1 http:// instagram.com/p/tS1h_eC5Yx/,,@Changi,#backtoreality,5.14447563346e+17,https://twitter.com/danetellechua/status/514447563345649665,changi airport mrt station,changi airport
DIIKORN,2014-09-24 00:14:00,0.0,0.0,I'M BACK !! (@Singapore Changi Airport (SIN) - @fansofchangi in Singapore) https://www. swarmapp.com/diikorn/checki n/54219c78498ec07f2ef5c7b9?s=kSNHlD4W0NWvqmVxGgCh-g6nC3Q&ref=tw …,,@Singapore @fansofchangi,,5.14447808096e+17,https://twitter.com/DIIKORN/status/514447808095862784,changi airport mrt station,changi airport
SMahadi,2014-09-24 00:15:00,0.0,0.0,I'm at Singapore Changi Airport (SIN) - @fansofchangi in Singapore https://www. swarmapp.com/smahadi/checki n/54219cb5498eea5a17133353?s=pFEOuRflUclKUGYvVqr8nRdZhF8&ref=tw …,,@fansofchangi,,5.14448057397e+17,https://twitter.com/SMahadi/status/514448057396916225,changi airport mrt station,changi airport
CanvasHTML5,2014-09-24 00:15:00,0.0,1.0,bartley new condo: Bartley Ridge is a 99-year leasehold Punggol EC project proudly located Sengkang Wes... http:// bit.ly/Y1IaQg #html5,,,#html5,5.14447995694e+17,https://twitter.com/CanvasHTML5/status/514447995694112768,punggol mrt station,punggol
HTML5devru,2014-09-24 00:15:00,0.0,1.0,bartley new condo: Bartley Ridge is a 99-year leasehold Punggol EC project proudly located Sengkang Wes... http:// bit.ly/Y1IaQg #html5,,,#html5,5.14447998957e+17,https://twitter.com/HTML5devru/status/514447998957281280,punggol mrt station,punggol
elkenianSG,2014-09-24 00:16:00,0.0,0.0,"Need 3-4 players for 27/9/14, Saturday for Futsal at Punggol Promenade from 2200-2359HR. Please PM or contact me for info. Thanks",,,,5.14448157876e+17,https://twitter.com/elkenianSG/status/514448157875654658,punggol mrt station,punggol
TeeHeess,2014-09-24 00:17:00,0.0,0.0,I'm at Blk 577 Ang Mo Kio Ave 10 in Singapore https://www. swarmapp.com/teeheess/check in/54219d1d498e4c7249e95d90?s=PBpAsX9QiNswBIglv9GMQuZL5jc&ref=tw …,,,,5.14448495362e+17,https://twitter.com/TeeHeess/status/514448495361933312,ang mo kio mrt station,ang mo kio
Qannn,2014-09-24 00:17:00,0.0,0.0,@nrlainmzln1 hahahhaa still near la tamp and pasir ris,,@nrlainmzln1,,5.14448449597e+17,https://twitter.com/Qannn/status/514448449597472771,pasir ris mrt station,pasir ris
nrlainmzln,2014-09-24 00:18:00,0.0,0.0,@qannn idk la he has a thing for Tampines laaaaaa oh ya the ban mian nice not hehe,,@qannn,,5.14448844546e+17,https://twitter.com/nrlainmzln/status/514448844545728512,tampines mrt station,tampines
cmcgimpsey,2014-09-24 00:19:00,0.0,1.0,Spending some time in the butterfly enclosure at Singapore #ChangiAirport next stop #Beijing pic.twitter.com/U1XNrO0BL0,,,#ChangiAirport #Beijing,5.14448967099e+17,https://twitter.com/cmcgimpsey/status/514448967099105280,changi airport mrt station,changi airport
JeremyyLow,2014-09-24 00:19:00,0.0,0.0,traveling to Hong Kong from Changi Airport http:// fb.me/1AvyiBkUy,,,,5.1444900575e+17,https://twitter.com/JeremyyLow/status/514449005749600256,changi airport mrt station,changi airport
bahaysg,2014-09-24 00:20:00,0.0,1.0,"C/Rooms at Bedok area at Blk 108, Blk 24, Blk 401! DONT... http:// bahaysg.com/posts/19009-cr ooms-at-bedok-area-at-blk-108-blk-24-blk-401-dont-miss … #pinoysg #pinoyrooms #sg #pinoy",,,#pinoysg #pinoyrooms #sg #pinoy,5.14449219366e+17,https://twitter.com/bahaysg/status/514449219365527552,bedok mrt station,bedok
kangruru,2014-09-24 00:20:00,0.0,0.0,@Hawaiianboyy TANJONG PAGAR BRO.,,@Hawaiianboyy,,5.14449252475e+17,https://twitter.com/kangruru/status/514449252475363328,tanjong pagar mrt station,tanjong pagar
Qrussia,2014-09-24 00:21:00,0.0,0.0,@CrapperGoh Serangoon mrt circle line as always? 3 lah.. then maybe from there we extend in case got train breakdown or what haha,,@CrapperGoh,,5.14449449956e+17,https://twitter.com/Qrussia/status/514449449955770369,serangoon mrt station,serangoon
SandyRinger1,2014-09-24 00:21:00,1.0,0.0,Check out this Decatur- Kentridge game http:// blogs.seattletimes.com/highschoolspor ts/2014/09/23/decatur-72-kentridge-54-no-that-wasnt-a-basketball-score/ …,,,,5.14449494222e+17,https://twitter.com/SandyRinger1/status/514449494222438400,kent ridge mrt station,kent ridge
judipot,2014-09-24 00:21:00,0.0,0.0,#newfamily #teamT4 @Changi Airport Terminal 4 http:// instagram.com/p/tS2brYlSSc/,,@Changi,#newfamily #teamT4,5.14449546576e+17,https://twitter.com/judipot/status/514449546575745025,changi airport mrt station,changi airport
siyingsangsung,2014-09-24 00:22:00,0.0,1.0,""" Jurong East is in the EAST"" ""EAST what"" ""you got hear before Jurong west meh?"" @samuelkhh every sentence you spout I cringe",,@samuelkhh,,5.14449847538e+17,https://twitter.com/siyingsangsung/status/514449847538049024,jurong east mrt station,jurong east
machorneja,2014-09-24 00:23:00,0.0,0.0,Extraterrestrial @Gardens By The Bay Singapore http:// instagram.com/p/tS2oZkJYB-/,,@Gardens,,5.14449982503e+17,https://twitter.com/machorneja/status/514449982502739968,gardens by the bay mrt station,gardens by the bay
syazinponyville,2014-09-24 00:24:00,1.0,1.0,and who knew u can swim at changi airport,,,,5.14450258869e+17,https://twitter.com/syazinponyville/status/514450258869227520,changi airport mrt station,changi airport
Handsomeqgy,2014-09-24 00:25:00,0.0,0.0,"I'm at Prata shop @132 in Bukit Batok , Singapore https://www. swarmapp.com/handsomeqgy/ch eckin/54219f03498e6f740100a474?s=kIjVM43yekKPcYB4SUKXUH1nC5w&ref=tw …",,@132,,5.1445053272e+17,https://twitter.com/Handsomeqgy/status/514450532719919104,bukit batok mrt station,bukit batok
tks,2014-09-24 00:25:00,0.0,1.0,I backed Singapore! Here is my hometown. @Changi Airport http:// instagram.com/p/tS214jnhq2/,,@Changi,,5.1445044742e+17,https://twitter.com/tks/status/514450447420387328,changi airport mrt station,changi airport
matildadwynwen,2014-09-24 00:28:00,0.0,0.0,"Funko Vinyl Collectible, Fluttershy Pre-order, shipment in October Self collection @Serangoon Gardens Mailing... http:// fb.me/6U2fiSn1H",,@Serangoon,,5.14451233127e+17,https://twitter.com/matildadwynwen/status/514451233126764545,serangoon mrt station,serangoon
matildadwynwen,2014-09-24 00:30:00,0.0,0.0,"Funko Pop!! My Little Pony Vinyl Figure - Fluttershy Pre-order, shipment in October Self collection @Serangoon ... http:// fb.me/7ayN3BJJd",,@Serangoon,,5.14451699387e+17,https://twitter.com/matildadwynwen/status/514451699386560512,serangoon mrt station,serangoon
JynnePY,2014-09-24 00:31:00,0.0,0.0,Gardens By The Bay <3 http:// instagram.com/p/tS3SGmpc3i/,,,,5.14452016598e+17,https://twitter.com/JynnePY/status/514452016597565442,gardens by the bay mrt station,gardens by the bay
briansunyu,2014-09-24 00:31:00,0.0,0.0,Lovely statue. #Singapore #rafflesplace #name #empty http:// instagram.com/p/tS3hNepPdL/,,,#Singapore #rafflesplace #name #empty,5.14451934511e+17,https://twitter.com/briansunyu/status/514451934510845952,raffles place mrt station,raffles place
lolswifty,2014-09-24 00:32:00,0.0,0.0,@roteneg OF COURSE tmr 11am at hougang ? mrt or-,,@roteneg,,5.14452330834e+17,https://twitter.com/lolswifty/status/514452330834456576,hougang mrt station,hougang
roteneg,2014-09-24 00:32:00,0.0,1.0,@lolswifty hougang mrt yee,,@lolswifty,,5.14452379132e+17,https://twitter.com/roteneg/status/514452379132260352,hougang mrt station,hougang
nurfirman_fish,2014-09-24 00:33:00,0.0,1.0,@danyRifaee after solat I meet you yishun then dinner then we go bakery dickory dock,,@danyRifaee,,5.14452459839e+17,https://twitter.com/nurfirman_fish/status/514452459838640128,yishun mrt station,yishun
muuund,2014-09-24 00:33:00,0.0,0.0,freaking stench everytime at Tampines bus interchange,,,,5.14452480093e+17,https://twitter.com/muuund/status/514452480092954624,tampines mrt station,tampines
turnoverjpg,2014-09-24 00:34:00,0.0,0.0,@ChodingIrfan cine lagi satu yang tinggal kat marsiling ?,,@ChodingIrfan,,5.14452804673e+17,https://twitter.com/turnoverjpg/status/514452804673355776,marsiling mrt station,marsiling
EraahHusori,2014-09-24 00:34:00,0.0,1.0,So hungry. Nasi lemak Boon Lay just now wasn't enough. Hahaha.,,,,5.14452726227e+17,https://twitter.com/EraahHusori/status/514452726227296256,boon lay mrt station,boon lay
nurfirman_fish,2014-09-24 00:35:00,0.0,1.0,"@danyRifaee oh I miss the lift part. Yes after "" yishun """,,@danyRifaee,,5.14453044093e+17,https://twitter.com/nurfirman_fish/status/514453044092620800,yishun mrt station,yishun
panwar_bishan,2014-09-24 00:35:00,1.0,0.0,Follow your brains! Your heart is silly,,,,5.14452911918e+17,https://twitter.com/panwar_bishan/status/514452911917522944,bishan mrt station,bishan
comeslapme,2014-09-24 00:36:00,0.0,0.0,i kind of miss that woman who always claps when she jogs at bedok reservoir and her dogs mostly her dogs,,,,5.14453341133e+17,https://twitter.com/comeslapme/status/514453341133230082,bedok mrt station,bedok
AIRLERNOR,2014-09-24 00:36:00,0.0,0.0,"@suesueshake by east I mean Bedok , tampines, simei. Not Jurong east. That's still considered the other side of the country for me",,@suesueshake,,5.14453330882e+17,https://twitter.com/AIRLERNOR/status/514453330882359297,bedok mrt station,bedok
_LOUIStjh,2014-09-24 00:37:00,0.0,0.0,굿밤 (@Louis' Bed @Jurong East in Singapore) https://www. swarmapp.com/k_yurilouis/ch eckin/5421a1bd498e8464ab324890?s=1jXEzDp27H4qryutcAHx4AWIG9Y&ref=tw …,,@Louis @Jurong,,5.1445346177e+17,https://twitter.com/_LOUIStjh/status/514453461770186753,jurong east mrt station,jurong east
RyieAmiinIIxo,2014-09-24 00:37:00,0.0,0.0,Nasi lemak boon lay,,,,5.14453586072e+17,https://twitter.com/RyieAmiinIIxo/status/514453586072174592,boon lay mrt station,boon lay
atlhazzz,2014-09-24 00:37:00,0.0,0.0,moving back to tampines woohoo,,,,5.14453444053e+17,https://twitter.com/atlhazzz/status/514453444053045249,tampines mrt station,tampines
calvinchen9838,2014-09-24 00:39:00,0.0,0.0,I'm at Block 170 Avenue 4 Ang Mo Kio https://www. swarmapp.com/calvinchen9838 /checkin/5421a22f498e9ccfdcd495c5?s=jo6qwWUW1oCyz3sz5GQmsFw3YiI&ref=tw …,,,,5.14453939355e+17,https://twitter.com/calvinchen9838/status/514453939354599424,ang mo kio mrt station,ang mo kio
giochaochibye,2014-09-24 00:41:00,0.0,0.0,@Jcxiaomonkey sound pretty good to me haha. I miss going to aljunied for dim sum after bball,,@Jcxiaomonkey,,5.14454541287e+17,https://twitter.com/giochaochibye/status/514454541287182338,aljunied mrt station,aljunied
almulya,2014-09-24 00:47:00,0.0,0.0,"@snatashaz ahhh yes cos we're "" yishun neighbours"" thats why must help each other HAHAHA NAT PLS but is that golf pitch?",,@snatashaz,,5.14456030315e+17,https://twitter.com/almulya/status/514456030315433986,yishun mrt station,yishun
mirulsyfq,2014-09-24 00:47:00,0.0,1.0,Fucking two million sgd found at sembawang park ? What the ..,,,,5.14456142387e+17,https://twitter.com/mirulsyfq/status/514456142387228672,sembawang mrt station,sembawang
thuynguyen4391,2014-09-24 00:48:00,0.0,0.0,@Clarke Quay http:// instagram.com/p/tS5iedsjS8/,,@Clarke,,5.14456375914e+17,https://twitter.com/thuynguyen4391/status/514456375913893888,clarke quay mrt station,clarke quay
Ngmingjie,2014-09-24 00:48:00,0.0,0.0,@FarisIsAwesomee you watch out. dont let me see you at yishun,,@FarisIsAwesomee,,5.1445620042e+17,https://twitter.com/Ngmingjie/status/514456200419631105,yishun mrt station,yishun
spxmz,2014-09-24 00:49:00,0.0,1.0,I'm at Tampines West Community Club in Singapore https://www. swarmapp.com/xueminnz/check in/5421a4a7498ece0949e100c7?s=dI4-VPChpqi4U-Dnnw2fG8kTfF0&ref=tw …,,,,5.1445659622e+17,https://twitter.com/spxmz/status/514456596219711488,tampines mrt station,tampines
huangtf,2014-09-24 00:52:00,0.0,0.0,Supper!!!!! (@Blk 75 Toa Payoh Lorong 5 Hawker Centre in Singapore) https://www. swarmapp.com/huangtf/checki n/5421a547498eea5a171386b3?s=2vVv1L9lxE2g_XSPvjJQxDt7yy8&ref=tw …,,@Blk,,5.14457258978e+17,https://twitter.com/huangtf/status/514457258978459648,toa payoh mrt station,toa payoh
jobs_singapore_,2014-09-24 00:54:00,0.0,0.0,"CAPITA PTE. LTD.: Warehouse Assistant, 3 Months, Yishun , $7/hr (, SG, Singapore) http:// jobs.as/d?j=6433001",,,,5.14457828796e+17,https://twitter.com/jobs_singapore_/status/514457828795633664,yishun mrt station,yishun
KhairiGrimmie,2014-09-24 00:54:00,0.0,0.0,@ohfyldian bukit batok ? Bukit panjang ah. Panjang pe bukit dier,,@ohfyldian,,5.14457868805e+17,https://twitter.com/KhairiGrimmie/status/514457868804702208,bukit batok mrt station,bukit batok
nikshaqil,2014-09-24 00:54:00,0.0,0.0,@thisisnotfaiq come down pasir ris gym thurs / fri then u talk.,,@thisisnotfaiq,,5.14457774412e+17,https://twitter.com/nikshaqil/status/514457774411882496,pasir ris mrt station,pasir ris
nikshaqil,2014-09-24 00:56:00,0.0,0.0,@thisisnotfaiq what... come pasir ris active sg. U got account?,,@thisisnotfaiq,,5.144582304e+17,https://twitter.com/nikshaqil/status/514458230399848448,pasir ris mrt station,pasir ris
HumansScarier,2014-09-24 00:57:00,0.0,0.0,I'm at Yishun Bus Interchange - @smrt_singapore in Singapore https://www. swarmapp.com/salvatoreeex/c heckin/5421a66d498ee1d05e137fe3?s=W1oRghtlZl4N6amOFzyU5ZYl84g&ref=tw …,,@smrt_singapore,,5.14458493668e+17,https://twitter.com/HumansScarier/status/514458493668327424,yishun mrt station,yishun
heynaadhirah,2014-09-24 00:57:00,1.0,1.0,Wait RT @SamuelTsui : Wonderful afternoon exploring a little bit of Singapore - the cloud forest at Gardens by the Bay pic.twitter.com/6Wdy2ULHUA,,@SamuelTsui,,5.14458562194e+17,https://twitter.com/heynaadhirah/status/514458562194448384,gardens by the bay mrt station,gardens by the bay
edosatriaw,2014-09-24 00:58:00,0.0,0.0,"GIMANA PERASAAN LO, SAAT LIAT ANAK KECIL DI BAWAH UMUR SEHARUSNYA SEKOLAH MALAH… (at Lampu Merah Tanah Tinggi) — https:// path.com/p/2b6KTc",,,,5.14458746979e+17,https://twitter.com/edosatriaw/status/514458746978701312,tanah merah mrt station,tanah merah
Cgmf99_,2014-09-24 00:59:00,0.0,0.0,Cycled to punggol then to sp play ball then to simei take bike then to 209 ball a while,,,,5.14459002332e+17,https://twitter.com/Cgmf99_/status/514459002332147712,punggol mrt station,punggol
faithcky1996,2014-09-24 00:59:00,0.0,0.0,Throwback to the other day... babyboon419 #Throwbacktothatotherday #InstaMagAndroid #love #ClarkeQuay http:// instagram.com/p/tS6xITFjEL/,,,#Throwbacktothatotherday #InstaMagAndroid #love #ClarkeQuay,5.14459078522e+17,https://twitter.com/faithcky1996/status/514459078522056704,clarke quay mrt station,clarke quay
danielleyeoww,2014-09-24 00:59:00,0.0,0.0,Were you at upper Thomson today? — Yea ahahah http:// ask.fm/a/b9m530bp,,,,5.14459070876e+17,https://twitter.com/danielleyeoww/status/514459070875844609,upper thomson mrt station,upper thomson
oakandbindi,2014-09-24 01:02:00,0.0,0.0,@BlackKingBane lol why u at simei !!! Meet @Hafircurls ah,,@BlackKingBane @Hafircurls,,5.14459726948e+17,https://twitter.com/oakandbindi/status/514459726948483072,simei mrt station,simei
Sufian1987,2014-09-24 01:03:00,0.0,0.0,Lepak (at Yishun Blk 112) — https:// path.com/p/4h6TQQ,,,,5.14460132408e+17,https://twitter.com/Sufian1987/status/514460132407668737,yishun mrt station,yishun
oakandbindi,2014-09-24 01:05:00,0.0,0.0,@Hafircurls @BlackKingBane @azriazriazri wahwah Eastwood downgrade to simei ??? Hahahaha next time then jio again thx,,@Hafircurls @BlackKingBane @azriazriazri,,5.14460552161e+17,https://twitter.com/oakandbindi/status/514460552161030144,simei mrt station,simei
BrianEmma2,2014-09-24 01:07:00,0.0,0.0,Outdoor baseball field in order to kid for preschool punggol : bCXHLVKtH,,,,5.14461153381e+17,https://twitter.com/BrianEmma2/status/514461153380950017,punggol mrt station,punggol
JasmondSays,2014-09-24 01:07:00,0.0,0.0,Slacking. – with @weiimiing (@Blk 110 Bedok North Road in Singapore) https://www. swarmapp.com/jasmondsays/ch eckin/5421a8cf498e0112d461e794?s=6JVPVqEfg0m2gZ1iIDNiPrjlczo&ref=tw …,,@weiimiing @Blk,,5.14461053809e+17,https://twitter.com/JasmondSays/status/514461053808553987,bedok mrt station,bedok
simei_774,2014-09-24 01:07:00,0.0,0.0,ていうか寝よう,,,,5.14461023181e+17,https://twitter.com/simei_774/status/514461023181361152,simei mrt station,simei
perlynnfrr,2014-09-24 01:08:00,0.0,0.0,I'm at 玲's hse in Toa Payoh https://www. swarmapp.com/kittyxlingz/ch eckin/5421a910498e78a6fb19a2d3?s=V0SBlWik3axbcnpJyfErdrcNq68&ref=tw …,,,,5.14461325583e+17,https://twitter.com/perlynnfrr/status/514461325582675969,toa payoh mrt station,toa payoh
