username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
VigneshIsMe,2014-10-04 00:00:00,0.0,0.0,Cabbing home from Pasir Ris,,,,5.18068062797e+17,https://twitter.com/VigneshIsMe/status/518068062797320192,pasir ris mrt station,pasir ris
mytraffic,2014-10-04 00:00:00,0.0,0.0,0000 #kltu KARAK Traffic is at a 25KM crawl from Taman Sri Gombak off the MRR2 till Bukit Tinggi,,,#kltu,5.18068055289e+17,https://twitter.com/mytraffic/status/518068055289495554,bukit gombak mrt station,bukit gombak
kltrafficupdate,2014-10-04 00:01:00,4.0,0.0,RT @mytraffic 0000 KARAK Traffic is at a 25KM crawl from Taman Sri Gombak off the MRR2 till Bukit Tinggi,,@mytraffic,,5.18068349805e+17,https://twitter.com/kltrafficupdate/status/518068349805154304,bukit gombak mrt station,bukit gombak
xoamirahh,2014-10-04 00:01:00,0.0,0.0,@taufiqCHEESE come tampines ;),,@taufiqCHEESE,,5.18068375487e+17,https://twitter.com/xoamirahh/status/518068375486861315,tampines mrt station,tampines
MianAlentajan,2014-10-04 00:02:00,0.0,1.0,Wonderful sunny day at Gardens by the Bay ☆☆☆ everything in bloom ♧♧♧ kennerchua #guyandpipangpeg @… http:// instagram.com/p/tskJOpuc4R/,,@,#guyandpipangpeg,5.18068503997e+17,https://twitter.com/MianAlentajan/status/518068503996547073,gardens by the bay mrt station,gardens by the bay
Hungry_JemOw,2014-10-04 00:03:00,0.0,0.0,Last train to one-north . Lol been a long time since I've had to catch this train. Used to be Pasir Panjang tho haha,,,,5.18068926228e+17,https://twitter.com/Hungry_JemOw/status/518068926228344832,one-north mrt station,one-north
bebiecolin,2014-10-04 00:03:00,0.0,0.0,Amazing sparkling night #colorful #night #singapore #clarkequay instaghelper #instatraveling … http:// instagram.com/p/tskRbNm4mO/,,,#colorful #night #singapore #clarkequay #instatraveling,5.18068786001e+17,https://twitter.com/bebiecolin/status/518068786000588800,clarke quay mrt station,clarke quay
bryanweekj,2014-10-04 00:04:00,0.0,0.0,Lets run from bukit batok to choa chu kang tmr,,,,5.18069008705e+17,https://twitter.com/bryanweekj/status/518069008705155074,bukit batok mrt station,bukit batok
imanaIeaf,2014-10-04 00:04:00,0.0,0.0,seriously sia aljunied and eunos mrt like tak perlu,,,,5.18069170396e+17,https://twitter.com/imanaIeaf/status/518069170395566085,aljunied mrt station,aljunied
HENRIESSS,2014-10-04 00:05:00,0.0,1.0,I'm at @ClarkeQuay in Singapore https://www. swarmapp.com/c/5IrDSgfP2rd,,@ClarkeQuay,,5.18069326986e+17,https://twitter.com/HENRIESSS/status/518069326986096640,clarke quay mrt station,clarke quay
JOLYNSHIT,2014-10-04 00:05:00,0.0,2.0,OUR SUM TO INFINITY BIGGER THAN ANY OF YOURS!!! P.S. Rmb to smell the roses at gardens by the bay pic.twitter.com/4Cq45hTy9R,,,,5.18069358493e+17,https://twitter.com/JOLYNSHIT/status/518069358493319168,gardens by the bay mrt station,gardens by the bay
chuhaizhou,2014-10-04 00:05:00,0.0,0.0,Over 200 children enjoy Children's Day at Gardens by the Bay http:// ift.tt/YWZfen,,,,5.18069306669e+17,https://twitter.com/chuhaizhou/status/518069306668883969,gardens by the bay mrt station,gardens by the bay
Lililianan,2014-10-04 00:05:00,0.0,0.0,I'm at HomeTeamNS @Bukit Batok in Singapore https://www. swarmapp.com/c/cbY85je6VxH,,@Bukit,,5.18069373698e+17,https://twitter.com/Lililianan/status/518069373698048002,bukit batok mrt station,bukit batok
iresssx,2014-10-04 00:05:00,0.0,0.0,still at bedok yo,,,,5.18069395651e+17,https://twitter.com/iresssx/status/518069395650654210,bedok mrt station,bedok
melaniehaeli185,2014-10-04 00:06:00,0.0,0.0,"Tigers made of flowers at INDIAN SAFARI, Flower Dome, Gardens by the Bay #singapore … http:// instagram.com/p/tsknTqlOlD/",,,#singapore,5.1806953723e+17,https://twitter.com/melaniehaeli185/status/518069537229770752,gardens by the bay mrt station,gardens by the bay
jiinjoo,2014-10-04 00:06:00,0.0,0.0,I'm at Singapore Changi Airport (SIN) - @fansofchangi in Singapore https://www. swarmapp.com/c/ely8uFJ744S,,@fansofchangi,,5.18069493391e+17,https://twitter.com/jiinjoo/status/518069493390934019,changi airport mrt station,changi airport
_michaelisx,2014-10-04 00:07:00,0.0,0.0,Ever walk from sengkang to hougang ?,,,,5.18069811071e+17,https://twitter.com/_michaelisx/status/518069811071303682,hougang mrt station,hougang
ybraaron,2014-10-04 00:08:00,0.0,0.0,@DanielwuCK @BryannFooo if you come bukit panjang I on also,,@DanielwuCK @BryannFooo,,5.18070104597e+17,https://twitter.com/ybraaron/status/518070104597094401,bukit panjang mrt station,bukit panjang
