username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
singaporeinform,2014-09-15 00:03:00,0.0,0.0,#Singapore Dengue checks stepped up in Serangoon North http:// bitly.com/1s4BFUF,,,#Singapore,5.11183370731e+17,https://twitter.com/singaporeinform/status/511183370731020288,serangoon mrt station,serangoon
SGManyTutors,2014-09-15 00:03:00,0.0,0.0,"Pri 5 Eng at Bedok South: by limk72 (Posted Sun Sep 14, 2014 11:25 pm)Location : ave 3Freq : 1 x 2 hrsRate tut... http:// bit.ly/1s4BQ2b",,,,5.1118357772e+17,https://twitter.com/SGManyTutors/status/511183577719918592,bedok mrt station,bedok
Panda_ZH86,2014-09-15 00:03:00,0.0,0.0,Orchid Extravaganza Floral @Gardens By The Bay (16 August 2014) http:// wp.me/p4VYgB-3c,,@Gardens,,5.11183580828e+17,https://twitter.com/Panda_ZH86/status/511183580827889664,gardens by the bay mrt station,gardens by the bay
seriousaly,2014-09-15 00:03:00,0.0,0.0,@tristansporty if u go to bedok mall make sure u come to my house right after,,@tristansporty,,5.11183412737e+17,https://twitter.com/seriousaly/status/511183412736962560,bedok mrt station,bedok
shilahdeanda,2014-09-15 00:04:00,0.0,1.0,@FizzFistYou @MalyanahYanah aku lupa HAHAHAHAHAHAHAHAH PUB EH JOM CLARKE QUAY HAHA,,@FizzFistYou @MalyanahYanah,,5.11183806284e+17,https://twitter.com/shilahdeanda/status/511183806284328960,clarke quay mrt station,clarke quay
mrupupup,2014-09-15 00:06:00,0.0,0.0,sunset at punggol #punggol #sunset #sg #exploresingapore #igerssingapore #igers #ig_singapore #genggua … http:// instagram.com/p/s7pFBCsHr7/,,,#punggol #sunset #sg #exploresingapore #igerssingapore #igers #ig_singapore #genggua,5.11184203003e+17,https://twitter.com/mrupupup/status/511184203002966016,punggol mrt station,punggol
_AlaiE,2014-09-15 00:07:00,0.0,0.0,@SyafiqAb kimak. Yishun ngn lim chu kang tak jauh siol. Boleh amik siol,,@SyafiqAb,,5.11184517068e+17,https://twitter.com/_AlaiE/status/511184517067853825,yishun mrt station,yishun
JREALYZ_,2014-09-15 00:08:00,0.0,0.0,"I'm at 我的家 in pasir ris , singapore https://www. swarmapp.com/jrealyz_/check in/5415bd75498eaefacb3105af?s=AJduSC3eDYcEFLfBlbwvEuR7ens&ref=tw …",,,,5.1118468888e+17,https://twitter.com/JREALYZ_/status/511184688879501312,pasir ris mrt station,pasir ris
_aynnjay,2014-09-15 00:09:00,0.0,0.0,Nasi lemak boonlay for supper. Been a while.,,,,5.11184993339e+17,https://twitter.com/_aynnjay/status/511184993339449344,boon lay mrt station,boon lay
_MuhdRidhwan_,2014-09-15 00:09:00,1.0,0.0,Tampines is gonna have a paintball arena soon. Woohoo!,,,,5.11184867104e+17,https://twitter.com/_MuhdRidhwan_/status/511184867103502338,tampines mrt station,tampines
