username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
sabms11,2014-09-16 00:00:00,0.0,0.0,bising . balik yishun la cb .,,,,5.11545160854e+17,https://twitter.com/sabms11/status/511545160853757952,yishun mrt station,yishun
Kennytyf,2014-09-16 00:00:00,0.0,0.0,"I'm at Kenny's House in Sembawang , Singapore https://www. swarmapp.com/kennytyf/check in/54170d04498e43d1187495ed?s=mAAIVwk9D6KuOyhOFLullW56zzY&ref=tw …",,,,5.11545073466e+17,https://twitter.com/Kennytyf/status/511545073465835520,sembawang mrt station,sembawang
speedthief95,2014-09-16 00:00:00,0.0,0.0,"Finally back from Pasir Ris resort, damn fun day :)",,,,5.11544996366e+17,https://twitter.com/speedthief95/status/511544996365737984,pasir ris mrt station,pasir ris
AfiqRazif,2014-09-16 00:00:00,0.0,0.0,Fort canning tmr,,,,5.1154497271e+17,https://twitter.com/AfiqRazif/status/511544972709879808,fort canning mrt station,fort canning
ChangiAirport,2014-09-16 00:00:00,4.0,8.0,"Well done! We hope you had fun playing #ChangiBrandsMania ? Stay tuned, we'll be announcing the winners soon! -K pic.twitter.com/El4H1UPzB8",,,#ChangiBrandsMania,5.11545013835e+17,https://twitter.com/ChangiAirport/status/511545013835005952,changi airport mrt station,changi airport
NashEmma1,2014-09-16 00:00:00,0.0,0.0,Outdoor polo ground in aid of kids at preschool punggol : NeSNKRq http:// dlvr.it/6w5wVC,,,,5.11544995548e+17,https://twitter.com/NashEmma1/status/511544995547852800,punggol mrt station,punggol
nonsense97_,2014-09-16 00:01:00,1.0,0.0,@atifah_ms tanah merah ? Prnh sngad haha biasa jgak area tuu. Wuu hade rzeki nnti adk cri ruma kak haha.,,@atifah_ms,,5.11545297638e+17,https://twitter.com/nonsense97_/status/511545297638412289,tanah merah mrt station,tanah merah
FriendlyAlvin,2014-09-16 00:01:00,1.0,0.0,Haha had a pleasant shock hello from @Khaaaaairu today at bedok mall :),,@Khaaaaairu,,5.1154529349e+17,https://twitter.com/FriendlyAlvin/status/511545293490233346,bedok mrt station,bedok
qtxhui,2014-09-16 00:03:00,0.0,0.0,@hotmeth_ from punggol go that venue. Will pass hougang inter anot?,,@hotmeth_,,5.11545937232e+17,https://twitter.com/qtxhui/status/511545937232011264,hougang mrt station,hougang
occupysg,2014-09-16 00:04:00,0.0,0.0,57-year-old man dies after getting hit by car along Tampines Street 11 http:// bit.ly/1sarQ7v,,,,5.11546189167e+17,https://twitter.com/occupysg/status/511546189167067137,tampines mrt station,tampines
dibasaiful,2014-09-16 00:04:00,0.0,0.0,@izarraazuddin Changi airport in singapore! Cantik kaaan. Thank you ira :D,,@izarraazuddin,,5.11546217193e+17,https://twitter.com/dibasaiful/status/511546217193410560,changi airport mrt station,changi airport
news_singapore,2014-09-16 00:04:00,0.0,0.0,(RealSg) 57-year-old man dies after getting hit by car along Tampines Street 11 http:// bit.ly/1sarP3I,,,,5.11546190019e+17,https://twitter.com/news_singapore/status/511546190018535424,tampines mrt station,tampines
BrianEmma2,2014-09-16 00:04:00,0.0,0.0,Outdoor football field now kids by preschool punggol : TDUQBwLZA,,,,5.11546003766e+17,https://twitter.com/BrianEmma2/status/511546003766263808,punggol mrt station,punggol
FazreenFatyn,2014-09-16 00:05:00,1.0,0.0,"4 facts about me (Maira) 1.Nurhasyilah Umairah bt Hasmi 2.4 tahun 3.Hospital Tanah Merah ,Kelantan 4.Mntk disayangi:) pic.twitter.com/vuejiBssmG",,,,5.11546282943e+17,https://twitter.com/FazreenFatyn/status/511546282943336448,tanah merah mrt station,tanah merah
i_sihui,2014-09-16 00:07:00,0.0,0.0,:D just now I ran from tampines JC behind to Dunman sec and then went to street 400 to meet Ben ^^ yay praise God I survive,,,,5.11546840853e+17,https://twitter.com/i_sihui/status/511546840852860928,tampines mrt station,tampines
Setiady29,2014-09-16 00:07:00,0.0,0.0,Bedok Faira Lofa http:// instagram.com/p/s-OY54rBGq/,,,,5.11546740257e+17,https://twitter.com/Setiady29/status/511546740257087488,bedok mrt station,bedok
sanguisfrigidus,2014-09-16 00:08:00,0.0,0.0,"""sozhu, New matches!Richienezz 25 / F / Old Kallang Airport Estate · akainao 25 / F / Singapore ·..."" http:// ow.ly/2NwCk6",,,,5.1154698952e+17,https://twitter.com/sanguisfrigidus/status/511546989520355329,kallang mrt station,kallang
beckyparanjothy,2014-09-16 00:08:00,0.0,0.0,I'm at Blk 75 Toa Payoh Lorong 5 Hawker Centre in Singapore w/ @getzombiefied https://www. swarmapp.com/beckyparanjoth y/checkin/54170ee6498ec7d93dee0461?s=hHt_aInDULjJ803RXaC7UhAQsTI&ref=tw …,,@getzombiefied,,5.11547014359e+17,https://twitter.com/beckyparanjothy/status/511547014359031808,toa payoh mrt station,toa payoh
Rickneoh,2014-09-16 00:10:00,0.0,0.0,"HDB Room Rental: Blk 287 Choa Chu Kang Avenue 2 (1-bedrooms) - S$ 600 - View to offer, 100 sqft, District 23... http:// fb.me/71TEMB6kt",,,,5.11547541361e+17,https://twitter.com/Rickneoh/status/511547541360754688,choa chu kang mrt station,choa chu kang
realLKY,2014-09-16 00:10:00,0.0,0.0,Missed the last train to toa payoh by a few fucking seconds Fuuuaaakvchk,,,,5.11547534196e+17,https://twitter.com/realLKY/status/511547534196494337,toa payoh mrt station,toa payoh
muffli2tos,2014-09-16 00:11:00,0.0,0.0,"ฉันชอบวิดีโอ @YouTube http:// youtu.be/fSWXw6fHvWc?a [직캠] 140912 B.A.P departure at Changi Airport , Singapore.",,@YouTube,,5.11547835209e+17,https://twitter.com/muffli2tos/status/511547835209105408,changi airport mrt station,changi airport
youmakemeky,2014-09-16 00:11:00,0.0,0.0,"Amor de mi vida,ya dos años que Dios me dio la bendición de tenerte en mis brazos,te amo Victoria Simei pic.twitter.com/wake4AZXOV",,,,5.1154779856e+17,https://twitter.com/youmakemeky/status/511547798559686656,simei mrt station,simei
Rickneoh,2014-09-16 00:12:00,0.0,0.0,"HDB Room Rental: Blk 287 Choa Chu Kang Avenue 2 (1-bedrooms) - S$ 800 - View to offer, 100 sqft, District 23... http:// fb.me/6OJkNV4td",,,,5.11548031369e+17,https://twitter.com/Rickneoh/status/511548031368691712,choa chu kang mrt station,choa chu kang
Error405_,2014-09-16 00:12:00,0.0,0.0,Ok so i pangseh jasmine this morning and now i need to walk to the other end of pasir ris to pei her smoke.,,,,5.11548128106e+17,https://twitter.com/Error405_/status/511548128105750528,pasir ris mrt station,pasir ris
