username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
Ruth_Djojoning,2014-12-18 00:00:00,0.0,0.0,"Adam ditulis ha'adamah. Ha adamah ini debu tanah atau tanah merah sehabis hujan. Bukan org, bukan cowok @sihargeol @kaniya_uliveon",,@sihargeol @kaniya_uliveon,,5.452470597e+17,https://twitter.com/Ruth_Djojoning/status/545247059700244480,tanah merah mrt station,tanah merah
trendinaliaSG,2014-12-18 00:00:00,0.0,0.0,1. Christmas 2. Thailand vs Malaysia 3. #AskTylerAnything 4. Singapore 5. Tampines 2014/12/17 23:57 SGT #trndnl http://www. trendinalia.com/twitter-trendi ng-topics/singapore/singapore-today.html …,,,#AskTylerAnything #trndnl,5.45247174981e+17,https://twitter.com/trendinaliaSG/status/545247174980689920,tampines mrt station,tampines
SyafiqShaari,2014-12-18 00:00:00,1.0,0.0,@KhairilAdzmi23 pm kata kalau 18 jam hujan tak berhenti kb tenggelam. Tanah merah 10 jam ja,,@KhairilAdzmi23,,5.45247090906e+17,https://twitter.com/SyafiqShaari/status/545247090905853954,tanah merah mrt station,tanah merah
nzrnrdn,2014-12-18 00:01:00,1.0,0.0,@muzzyIrfan hala simei,,@muzzyIrfan,,5.45247399817e+17,https://twitter.com/nzrnrdn/status/545247399816749056,simei mrt station,simei
nuuurafiqahh,2014-12-18 00:03:00,0.0,0.0,had a quick shooting session . borrowed the team's bow and arrow #sembawang pic.twitter.com/GYDd5Memxq,,,#sembawang,5.45247879917e+17,https://twitter.com/nuuurafiqahh/status/545247879917338625,sembawang mrt station,sembawang
Farzizzles,2014-12-18 00:03:00,0.0,1.0,@sitimaisyarahxx Is it you just now at rp wearing SOM shirt? And with some other yishun sec people.,,@sitimaisyarahxx,,5.45248004723e+17,https://twitter.com/Farzizzles/status/545248004723077120,yishun mrt station,yishun
jiw3n,2014-12-18 00:03:00,0.0,0.0,I have an idea: we can use the cats at cuddles to catch the rats at bukit batok .,,,,5.45247949409e+17,https://twitter.com/jiw3n/status/545247949408587776,bukit batok mrt station,bukit batok
SingaporeToBali,2014-12-18 00:04:00,0.0,0.0,Rats run wild in broad daylight near Bukit Batok MRT station - The Straits Times http:// dlvr.it/7rhhxr,,,,5.4524812994e+17,https://twitter.com/SingaporeToBali/status/545248129939828736,bukit batok mrt station,bukit batok
DOKAILLUMINATI,2014-12-18 00:04:00,0.0,0.0,@babehyunee outram park !!!!,,@babehyunee,,5.45248168016e+17,https://twitter.com/DOKAILLUMINATI/status/545248168015712256,outram park mrt station,outram park
SyafiqShaari,2014-12-18 00:06:00,1.0,0.0,Nak kelik kedah guane tanah merah banjir woi! http:// ebanjir.kelantan.gov.my/p_llrpt01.php,,,,5.45248575627e+17,https://twitter.com/SyafiqShaari/status/545248575626559488,tanah merah mrt station,tanah merah
