username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
MOFASAD,2014-10-16 00:00:00,0.0,0.0,@MustaqqAhamed macam tepi jalan besar je ni kan?,,@MustaqqAhamed,,5.22416759023e+17,https://twitter.com/MOFASAD/status/522416759022698497,jalan besar mrt station,jalan besar
taqqhmd,2014-10-16 00:00:00,0.0,0.0,@MOFASAD yup. tepi jalan besar je.,,@MOFASAD,,5.22416832037e+17,https://twitter.com/taqqhmd/status/522416832037146625,jalan besar mrt station,jalan besar
NurulJay_,2014-10-16 00:01:00,0.0,1.0,@naqibezwnxx try the shops near bedok mall if im not mistaken. Kat sana cheap. But you have to go shop hopping first to check prices haha,,@naqibezwnxx,,5.22417057766e+17,https://twitter.com/NurulJay_/status/522417057766182913,bedok mrt station,bedok
rxzzi,2014-10-16 00:01:00,0.0,0.0,One final thing to do at Yew Tee and that's the reason why we had to do so many things today,,,,5.22417050254e+17,https://twitter.com/rxzzi/status/522417050254204928,yew tee mrt station,yew tee
foreverlzg,2014-10-16 00:02:00,0.0,0.0,Mini drinking session with new found friends (ex intern boss ) @Fat Boys @Upper Thomson http:// instagram.com/p/uLduA9t3DW/,,@Fat @Upper,,5.22417237203e+17,https://twitter.com/foreverlzg/status/522417237203124224,upper thomson mrt station,upper thomson
HendraZizou,2014-10-16 00:02:00,1.0,0.0,"@jcvanjkt48 itu temen lo sama patrikstar sendiri yg buat polemik ini.. makanya hati-hati nyimpen bangke, timbun pake tanah merah",,@jcvanjkt48,,5.22417144337e+17,https://twitter.com/HendraZizou/status/522417144336617472,tanah merah mrt station,tanah merah
BrianEmma2,2014-10-16 00:03:00,0.0,0.0,Outdoor putting green replacing kids on preschool punggol : IubApqapj,,,,5.22417453847e+17,https://twitter.com/BrianEmma2/status/522417453846904832,punggol mrt station,punggol
supernovarom,2014-10-16 00:03:00,0.0,0.0,@D_silvercrow this training week at bishan,,@D_silvercrow,,5.22417605802e+17,https://twitter.com/supernovarom/status/522417605802344448,bishan mrt station,bishan
choi_delie,2014-10-16 00:03:00,0.0,0.0,View from the top of one raffles place ! #Ontopoftheworld @1 Altitude http:// instagram.com/p/uLdx4LEATm/,,@1,#Ontopoftheworld,5.22417370015e+17,https://twitter.com/choi_delie/status/522417370015358977,raffles place mrt station,raffles place
woodyferny,2014-10-16 00:03:00,0.0,1.0,From Jurong east pic.twitter.com/vmHxNDuCMw,,,,5.22417375569e+17,https://twitter.com/woodyferny/status/522417375568605184,jurong east mrt station,jurong east
