username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
iniaggy,2014-11-19 00:00:00,0.0,0.0,"Wild Dogs and Pythons, A Bukit Brown Cemetery Adventure - #travel #archives http:// is.gd/AGqYpT",,,#travel #archives,5.34737815889e+17,https://twitter.com/iniaggy/status/534737815888613377,bukit brown mrt station,bukit brown
farysahahaha,2014-11-19 00:00:00,0.0,0.0,"do u like adventures ? — haha yes i dooo. in fact , i'm venturing to a abandoned flat at marsiling soon with my ... http:// ask.fm/a/bdh0kn1g",,,,5.34738000984e+17,https://twitter.com/farysahahaha/status/534738000983633921,marsiling mrt station,marsiling
fatahbunehneh,2014-11-19 00:01:00,0.0,0.0,"I'm at Ahbunehneh's House!  in Hougang , Singapore https://www. swarmapp.com/c/iUk0DwLekUv",,,,5.34738239203e+17,https://twitter.com/fatahbunehneh/status/534738239203315713,hougang mrt station,hougang
meekiaaa,2014-11-19 00:01:00,0.0,1.0,@yining_leh what happened? anyways tmr i not gg bugis . i meeting my friend at yishun instead.,,@yining_leh,,5.34738069996e+17,https://twitter.com/meekiaaa/status/534738069996314625,yishun mrt station,yishun
BenHoo0,2014-11-19 00:01:00,0.0,0.0,@zhouwenli @alastairglb Come yishun supper,,@zhouwenli @alastairglb,,5.34738190763e+17,https://twitter.com/BenHoo0/status/534738190762905601,yishun mrt station,yishun
yvettetxy,2014-11-19 00:02:00,2.0,3.0,"RT @lianrongpao : ""what else can we do at bras basah ?"" ""buy bras "" - @chameau_mel , 2014",,@lianrongpao @chameau_mel,,5.34738398494e+17,https://twitter.com/yvettetxy/status/534738398494212096,bras basah mrt station,bras basah
yougotmesaying,2014-11-19 00:02:00,0.0,0.0,Why Yishun Town Secondary students look so nerdy now.,,,,5.34738544246e+17,https://twitter.com/yougotmesaying/status/534738544246276097,yishun mrt station,yishun
757LiveSG,2014-11-19 00:02:00,0.0,0.0,#Artwork adorns new Marina South Pier MRT station - Channel News Asia http:// 757l.tk/1uL5zTm,,,#Artwork,5.34738467751e+17,https://twitter.com/757LiveSG/status/534738467750965248,marina south pier mrt station,marina south pier
farysahahaha,2014-11-19 00:02:00,0.0,0.0,abandoned flat ? hve uh ? whr ?? — nearby esso and marsiling sec ard there uh. the place damn dark at night. http:// ask.fm/a/bdh0o7b6,,,,5.3473835523e+17,https://twitter.com/farysahahaha/status/534738355230359553,marsiling mrt station,marsiling
Laurapyordova,2014-11-19 00:03:00,0.0,0.0,Gak enak banget tinggal di pinggir jalan besar . Tiap hari dengar Ambulance berlewatan. sama kyak hri ini. uda 13 yg lewat. Parno sendiri ==,,,,5.34738604099e+17,https://twitter.com/Laurapyordova/status/534738604098994176,jalan besar mrt station,jalan besar
