username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
hariadhi,2016-03-31 00:04:00,2,1,Kabar tanah merah gmn om? Ongen? https:// twitter.com/Yusrilihza_Mhd /status/715177616500654080 …,,,,715208056183717888,https://twitter.com/hariadhi/status/715208056183717888,tanah merah mrt station,tanah merah
LTAtrafficnews,2016-03-31 00:05:00,0,0,Accident on TPE (towards SLE) at Tampines Ave 10 Entrance,,,,715208457738002434,https://twitter.com/LTAtrafficnews/status/715208457738002434,tampines mrt station,tampines
botabet,2016-03-31 00:05:00,0,0,AFC Cup MD2 - Group E: Selangor FA 0-1 Tampines Rovers #AFCCup2016 #predictions http:// webogi.com/DtBY93 pic.twitter.com/s9bBmzsJBd,,,#AFCCup2016 #predictions,715208345506955266,https://twitter.com/botabet/status/715208345506955266,tampines mrt station,tampines
StArtEverywhere,2016-03-31 00:05:00,1,1,. SULLE SPONDE DEL TEVERE KENTRIDGE RACCONTA LA STORIA DI ROMA Una pedalata in bicicletta si trasforma in un viag… pic.twitter.com/cjK0BBqohI,,,,715208429288210432,https://twitter.com/StArtEverywhere/status/715208429288210432,kent ridge mrt station,kent ridge
dpmita,2016-03-31 00:05:00,0,0,"Malam terakhir di SG besok sudah kembali lagi ke INDO, dengan rutinitas rutin… (at Blk 102 Bedok North Avenue 4) — https:// path.com/p/1BQ1Un",,,,715208340322660353,https://twitter.com/dpmita/status/715208340322660353,bedok mrt station,bedok
david_thena,2016-03-31 00:08:00,0,0,"Driving to Bukit Batok , sharing real-time road info with wazers in my area. ETA 12:08 AM using @waze - Drive Social.",,@waze,,715208990406418433,https://twitter.com/david_thena/status/715208990406418433,bukit batok mrt station,bukit batok
SingaporeAdv,2016-03-31 00:10:00,0,0,Elderly woman killed after taxi hits her in a Bedok North carpark as she was collecting cardboard - The Straits… http:// dlvr.it/KwjbCm,,,,715209582868496384,https://twitter.com/SingaporeAdv/status/715209582868496384,bedok mrt station,bedok
SG_Alerts,2016-03-31 00:10:00,0,0,[Notice] LTA: Accident on TPE (towards SLE) at Tampines Ave 10 Entrance #SG_Alerts,,,#SG_Alerts,715209477767626752,https://twitter.com/SG_Alerts/status/715209477767626752,tampines mrt station,tampines
azimhady,2016-03-31 00:10:00,0,0,khamis -> pasar malam taman mahsuri / tanah merah,,,,715209486172983296,https://twitter.com/azimhady/status/715209486172983296,tanah merah mrt station,tanah merah
AzlinAshiqin,2016-03-31 00:11:00,0,1,12.00am. Sebab Ibu nak makan chicken chop. (@Restoran Edde Bandar Baru Tanah Merah ) https://www. swarmapp.com/c/efCZ32Uz9kh,,@Restoran,,715209732907278340,https://twitter.com/AzlinAshiqin/status/715209732907278340,tanah merah mrt station,tanah merah
fathomlesslife_,2016-03-31 00:11:00,0,0,"Heart pain. Just alight mrt at khatib , then my last 39 bus driving away already. Double decker lagi sia. Adui. Ouch ouch.",,,,715209815409098752,https://twitter.com/fathomlesslife_/status/715209815409098752,khatib mrt station,khatib mrt
dansolana,2016-03-31 00:12:00,0,0,"traveling to Manila, Philippines from Changi Airport Singapore Terminal 1 http:// fb.me/298cNKUX3",,,,715210154137030660,https://twitter.com/dansolana/status/715210154137030660,changi airport mrt station,changi airport
LUQMNHKIM_,2016-03-31 00:15:00,0,1,my name is Luqman and I live in Tampines and I'm addicted to @LittleMix HAHAHA,,@LittleMix,,715210839607758848,https://twitter.com/LUQMNHKIM_/status/715210839607758848,tampines mrt station,tampines
rutland_radio,2016-03-31 00:17:00,0,0,Caldecott and Cottingham today. Still Collyweston and Colsterworth to go. It's the A to Z of #stamford and #rutland pic.twitter.com/bjxHcME5kS,,,#stamford #rutland,715211287949615106,https://twitter.com/rutland_radio/status/715211287949615106,caldescott mrt station,caldescott
dananwahyu,2016-03-31 00:18:00,0,0,[Video] Gardens By The Bay http:// wp.me/pNQno-38Q @singasik #gardenbythebay #singapore #j2c2,,@singasik,#gardenbythebay #singapore #j2c2,715211555449675776,https://twitter.com/dananwahyu/status/715211555449675776,gardens by the bay mrt station,gardens by the bay
wuya_ahma,2016-03-31 00:19:00,0,0,Shenton Way #Throwback #Willow #blackandwhite #landscape #keepwalking #shentonway #errands https://www. instagram.com/p/BDlWhi8qQkR/,,,#Throwback #Willow #blackandwhite #landscape #keepwalking #shentonway #errands,715211775029993472,https://twitter.com/wuya_ahma/status/715211775029993472,shenton way mrt station,shenton way
VaudevillianElf,2016-03-31 00:20:00,0,1,I'm yhe only one who lives in tampines and I have a personal driver home #blessed,,,#blessed,715212077741150209,https://twitter.com/VaudevillianElf/status/715212077741150209,tampines mrt station,tampines
devspf,2016-03-31 00:20:00,0,0,I'm at Singapore @ChangiAirport (SIN) in Singapore https://www. swarmapp.com/c/hAsiuvCvJkn,,@ChangiAirport,,715212195404058625,https://twitter.com/devspf/status/715212195404058625,changi airport mrt station,changi airport
itsRLSX,2016-03-31 00:20:00,0,0,It is so sad to terminate at Tanah Merah station...,,,,715212028428689408,https://twitter.com/itsRLSX/status/715212028428689408,tanah merah mrt station,tanah merah
FarhanRazlee,2016-03-31 00:21:00,0,0,@mhzihnfi Yup but must see which CC. Serangoon ave 2 boleh.,,@mhzihnfi,,715212363666825216,https://twitter.com/FarhanRazlee/status/715212363666825216,serangoon mrt station,serangoon
Jeffreytaykh,2016-03-31 00:23:00,0,0,I'm at Punggol End in Singapore https://www. swarmapp.com/c/lvUCsqJVOWz,,,,715212896188428289,https://twitter.com/Jeffreytaykh/status/715212896188428289,punggol mrt station,punggol
glwtxo,2016-03-31 00:24:00,0,1,I'm at Punggol End in Singapore w/ @jeffreytaykh https://www. swarmapp.com/c/fsaSi2KaZFL,,@jeffreytaykh,,715213034000683008,https://twitter.com/glwtxo/status/715213034000683008,punggol mrt station,punggol
Zachery_TWZ,2016-03-31 00:24:00,0,0,I'm at Woodlands MRT Station (NS9) - @smrt_singapore in Singapore https://www. swarmapp.com/c/edbpmqVj0yQ,,@smrt_singapore,,715213193451323393,https://twitter.com/Zachery_TWZ/status/715213193451323393,woodlands mrt station,woodlands mrt
BrianEmma2,2016-03-31 00:25:00,0,0,Outdoor playground being kid on preschool punggol : DblwHtMmC,,,,715213369821634560,https://twitter.com/BrianEmma2/status/715213369821634560,punggol mrt station,punggol
Chupachuppssss,2016-03-31 00:25:00,0,0,Gardens by the bay https://www. instagram.com/p/BDlXOtNxXSW/,,,,715213336485498880,https://twitter.com/Chupachuppssss/status/715213336485498880,gardens by the bay mrt station,gardens by the bay
itsrayy_x,2016-03-31 00:25:00,0,1,The PM2.5 in Serangoon/AMK/ Hougang Area is 97.. close to Unhealthy man wtf,,,,715213377748873216,https://twitter.com/itsrayy_x/status/715213377748873216,hougang mrt station,hougang
elfinvan,2016-03-31 00:26:00,2,0,Kranji to yew tee ........,,,,715213495541760003,https://twitter.com/elfinvan/status/715213495541760003,yew tee mrt station,yew tee
forever_Asmile,2016-03-31 00:27:00,0,0,I'm at Blk 12 Lorong 7 Toa Payoh in Singapore https://www. swarmapp.com/c/1r9nDtqacQq,,,,715213872018432000,https://twitter.com/forever_Asmile/status/715213872018432000,toa payoh mrt station,toa payoh
