username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
hazsaffrina,2015-12-21 00:00:00,0,0,@Sixteen_Alkiff gardens by the bay lah walao HAHAHAH cheh ice cream thr nice leh *hinting*,,@Sixteen_Alkiff,,678606011201007616,https://twitter.com/hazsaffrina/status/678606011201007616,gardens by the bay mrt station,gardens by the bay
johnyeungx,2015-12-21 00:01:00,0,0,I'm at Blk 201E Tampines Street 23 in Singapore https://www. swarmapp.com/c/hSn4lJOgYtv,,,,678606205376471040,https://twitter.com/johnyeungx/status/678606205376471040,tampines mrt station,tampines
Aditya_Key,2015-12-21 00:01:00,0,0,"Yuk bobo ah... (at Gardens By The Bay South, Singapore) [pic] — https:// path.com/p/1vLE3e",,,,678606048303824896,https://twitter.com/Aditya_Key/status/678606048303824896,gardens by the bay mrt station,gardens by the bay
TerrynPup,2015-12-21 00:02:00,0,0,"Noncoming traffic. @Outram Park , Singapore https://www. instagram.com/p/_hQRn6L-BK/",,@Outram,,678606288776011778,https://twitter.com/TerrynPup/status/678606288776011778,outram park mrt station,outram park
sdjyx,2015-12-21 00:02:00,0,1,I'm at Blk 201E Tampines Street 23 in Singapore w/ @johnyeungx https://www. swarmapp.com/c/9h12T7suJx7,,@johnyeungx,,678606426877636609,https://twitter.com/sdjyx/status/678606426877636609,tampines mrt station,tampines
ZhenZhou97,2015-12-21 00:03:00,0,0,I'm at The Punggol Settlement in Singapore https://www. swarmapp.com/c/2KKPac4BRzy,,,,678606681211826179,https://twitter.com/ZhenZhou97/status/678606681211826179,punggol mrt station,punggol
embr4cefl4ws,2015-12-21 00:03:00,0,0,"yay off day tmrw, 2pm appointment to take out the stitch in my mouth can't wait hehe then off to gardens by the bay with alf",,,,678606644020838400,https://twitter.com/embr4cefl4ws/status/678606644020838400,gardens by the bay mrt station,gardens by the bay
thaqifah_ismail,2015-12-21 00:04:00,0,0,"I'm at Punggol Arcadia in Punggol , Singapore https://www. swarmapp.com/c/fRdOzNI8Amo",,,,678606937165053958,https://twitter.com/thaqifah_ismail/status/678606937165053958,punggol mrt station,punggol
klagsk,2015-12-21 00:07:00,0,0,#singapore #career Customer Service Assistant/Officer x2/ Potong Pasir /AWS/1-5 yrs exp/ITE/Di... http:// bit.ly/1QCHCtk #jobhiring in #sg,,,#singapore #career #jobhiring #sg,678607681779687424,https://twitter.com/klagsk/status/678607681779687424,potong pasir mrt station,potong pasir
klagsk,2015-12-21 00:07:00,0,0,#singapore #career Customer Service Assistant/Officer x2/ Potong Pasir /AWS/1-5 yrs exp/ITE/Di... http:// bit.ly/1QCHCt2 #jobhiring in #sg,,,#singapore #career #jobhiring #sg,678607680068452352,https://twitter.com/klagsk/status/678607680068452352,potong pasir mrt station,potong pasir
klagsk,2015-12-21 00:07:00,0,0,#singapore #career Sales Coordinator x2/ Potong Pasir /AWS/Up 2k/1-5 yrs exp/ITE/Dip/Hardware ... http:// bit.ly/1QCHCta #jobhiring in #sg,,,#singapore #career #jobhiring #sg,678607680907284480,https://twitter.com/klagsk/status/678607680907284480,potong pasir mrt station,potong pasir
klagsk,2015-12-21 00:07:00,0,0,#singapore #career Outdoor Sales Executive x2/ Potong Pasir /AWS/Up 2k+Comm/1-5 yrs exp/Hardwa... http:// bit.ly/1QCHA4p #jobhiring in #sg,,,#singapore #career #jobhiring #sg,678607678935928832,https://twitter.com/klagsk/status/678607678935928832,potong pasir mrt station,potong pasir
ash_klausss,2015-12-21 00:07:00,0,0,"What a race from bukit batok to taman jurong. Altho it was unfair, it was still good.",,,,678607724972666880,https://twitter.com/ash_klausss/status/678607724972666880,bukit batok mrt station,bukit batok
hoyanista,2015-12-21 00:07:00,0,0,AM I THE ONLY PERSON WHO HASNT GONE TO GARDENS BY THE BAY YET,,,,678607555266871299,https://twitter.com/hoyanista/status/678607555266871299,gardens by the bay mrt station,gardens by the bay
klagsk,2015-12-21 00:07:00,0,0,#singapore #career Sales Coordinator x2/ Potong Pasir /AWS/Up 2k/1-5 yrs exp/ITE/Dip/Hardware ... http:// bit.ly/1URYhYN #jobhiring in #sg,,,#singapore #career #jobhiring #sg,678607682543026176,https://twitter.com/klagsk/status/678607682543026176,potong pasir mrt station,potong pasir
iamyoursithlord,2015-12-21 00:09:00,0,0,"tkde lelaki lain ke yg tinggi, putih n handsome kat aljunied HAHHAHAHAHHAHAHA YA ALLAH",,,,678608254369333248,https://twitter.com/iamyoursithlord/status/678608254369333248,aljunied mrt station,aljunied
Cindyytqy,2015-12-21 00:10:00,0,0,New bus availble at sembawang bus interchange From Sembawang to Punggol !,,,,678608296270364672,https://twitter.com/Cindyytqy/status/678608296270364672,punggol mrt station,punggol
