username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
KelvinTKK_,2015-12-25 00:00:00,0,0,I hope siglap would not extinct..,,,,680055508141645825,https://twitter.com/KelvinTKK_/status/680055508141645825,siglap mrt station,siglap
kleinxumali,2015-12-25 00:00:00,0,0,Merry Christmas! @Gardens by the Bay https://www. instagram.com/p/_rjP5orM9BwP egWv0xyledMgfgdMaxocbwHs80/ …,,@Gardens,,680055386301403137,https://twitter.com/kleinxumali/status/680055386301403137,gardens by the bay mrt station,gardens by the bay
marcelfahle,2015-12-25 00:00:00,0,0,Black Santa and the Stormie rocking the dance floor. @McGettigan's Clarke Quay https://www. instagram.com/p/_rjRGuMkGU/,,@McGettigan,,680055424989675524,https://twitter.com/marcelfahle/status/680055424989675524,clarke quay mrt station,clarke quay
champyboo,2015-12-25 00:01:00,0,0,Merry Christmas! @Hougang Ave 7 Singapore https://www. instagram.com/p/_rjZFzxnkJ/,,@Hougang,,680055699007758336,https://twitter.com/champyboo/status/680055699007758336,hougang mrt station,hougang
SGmiddleground,2015-12-25 00:01:00,1,1,"Here's how Block 46, Bedok South Ave 3 will celebrate the holiday season #ICYMI http:// ow.ly/WhZl8 pic.twitter.com/Hgb1kGmLru",,,#ICYMI,680055647023529984,https://twitter.com/SGmiddleground/status/680055647023529984,bedok mrt station,bedok
SharkTuna,2015-12-25 00:01:00,0,1,"if shi yun sends another pepe picture, im going to explode and rocket myself to boon lay to murder her",,,,680055830641655808,https://twitter.com/SharkTuna/status/680055830641655808,boon lay mrt station,boon lay
FoobieWorsnop,2015-12-25 00:02:00,0,0,I'm at @ClarkeQuay in Singapore https://www. swarmapp.com/c/5OTZ04dsiAu,,@ClarkeQuay,,680055929149255681,https://twitter.com/FoobieWorsnop/status/680055929149255681,clarke quay mrt station,clarke quay
ChangiAirport,2015-12-25 00:03:00,16,18,Wishing you a Merry #Christmas and safe journeys wherever you go! RT & tag your loved ones! pic.twitter.com/dI2yyTqEES,,,#Christmas,680056335631683585,https://twitter.com/ChangiAirport/status/680056335631683585,changi airport mrt station,changi airport
jaeminity,2015-12-25 00:03:00,0,0,My favorite time of the year @Gardens by the Bay https://www. instagram.com/p/_rjlGAqa7OSQ h-VYIgYxKaJht8FBcuzY6vGFM0/ …,,@Gardens,,680056113539190784,https://twitter.com/jaeminity/status/680056113539190784,gardens by the bay mrt station,gardens by the bay
AgnesHehe,2015-12-25 00:03:00,0,0,on the way to mrt station ppl at orchard is very hyper which idk why haha,,,,680056109151825921,https://twitter.com/AgnesHehe/status/680056109151825921,orchard mrt station,orchard mrt
AlxaJxhah,2015-12-25 00:03:00,0,0,I'm at Simei in Singapore https://www. swarmapp.com/c/iyBLbJZFlVp,,,,680056089824620545,https://twitter.com/AlxaJxhah/status/680056089824620545,simei mrt station,simei
jonasxtoh,2015-12-25 00:03:00,0,0,Dessert time! (@Rochor Beancurd House in Singapore) https://www. swarmapp.com/c/k61jc5zMbCZ,,@Rochor,,680056122921906176,https://twitter.com/jonasxtoh/status/680056122921906176,rochor mrt station,rochor
ShogunShad,2015-12-25 00:03:00,0,0,"@nurxfazerah yeah, but my camp is at Boon Lay , I sometimes terlajak to either Pioneer or Joo Koon.. Hahaha",,@nurxfazerah,,680056246385295360,https://twitter.com/ShogunShad/status/680056246385295360,boon lay mrt station,boon lay
PewPewPewJarret,2015-12-25 00:04:00,0,0,third christmas spent with this beautiful girl @Gardens by the Bay https://www. instagram.com/p/_rjv7pELXx/,,@Gardens,,680056488077967361,https://twitter.com/PewPewPewJarret/status/680056488077967361,gardens by the bay mrt station,gardens by the bay
Bart_Monello,2015-12-25 00:06:00,0,0,Family gathering... @Costa Sands Resort ( Pasir Ris ) https://www. instagram.com/p/_rj8-3pHRbYu uMD4Mzb2TaMP_fha2-TNxth1E0/ …,,@Costa,,680056934993637376,https://twitter.com/Bart_Monello/status/680056934993637376,pasir ris mrt station,pasir ris
ajbreads,2015-12-25 00:06:00,0,3,Merry Christmas guys!!! @marellagabriel @dhobyghaut @geogRAFFY @_abbysarmiento,,@marellagabriel @dhobyghaut @geogRAFFY @_abbysarmiento,,680056990526115841,https://twitter.com/ajbreads/status/680056990526115841,dhoby ghaut mrt station,dhoby ghaut
_hogang,2015-12-25 00:07:00,0,0,@oneofus_a 허...ㅇㅁㅇ...... 시훈배우님 다시 하셔쓰면ㅠㅁㅠ 초연배우분들 다 돌아오셨으면 좋겠네요. 지짜 재밌어요.bbbb,,@oneofus_a,,680057257850085380,https://twitter.com/_hogang/status/680057257850085380,hougang mrt station,hougang
marul69,2015-12-25 00:07:00,0,0,Oh yay! 13 hours will be a breeze! #FRIENDS #giwtravels #giwSQ #singporeair @Changi Airport https://www. instagram.com/p/_rkFBXwRt8/,,@Changi,#FRIENDS #giwtravels #giwSQ #singporeair,680057209573748737,https://twitter.com/marul69/status/680057209573748737,changi airport mrt station,changi airport
tatanasir,2015-12-25 00:08:00,0,0,am i the only one who have not been to gardens by the bay christmas wonderland,,,,680057368374149120,https://twitter.com/tatanasir/status/680057368374149120,gardens by the bay mrt station,gardens by the bay
solenn_18,2015-12-25 00:09:00,0,3,"Celebrating Christmas at Changi Airport . Merry Christmas, everyone! pic.twitter.com/smasTZlsRr",,,,680057599132225536,https://twitter.com/solenn_18/status/680057599132225536,changi airport mrt station,changi airport
fatahbunehneh,2015-12-25 00:09:00,0,0,"I'm at Ahbunehneh's House!  in Hougang , Singapore https://www. swarmapp.com/c/js5cCNY3yOu",,,,680057826367135745,https://twitter.com/fatahbunehneh/status/680057826367135745,hougang mrt station,hougang
doulosyap,2015-12-25 00:12:00,0,0,"RT SGmiddleground ""Here's how Block 46, Bedok South Ave 3 will celebrate the holiday season #ICYMI … pic.twitter.com/2fuaBT7rLF """,,,#ICYMI,680058375577710592,https://twitter.com/doulosyap/status/680058375577710592,bedok mrt station,bedok
aisyahayup17,2015-12-25 00:13:00,0,1,At Changi Airport ! @Changi Airport https://www. instagram.com/p/_rkuBJC_P2/,,@Changi,,680058617874124800,https://twitter.com/aisyahayup17/status/680058617874124800,changi airport mrt station,changi airport
jacobjlau,2015-12-25 00:15:00,0,0,#quantumsquad去见HORNGKONG HAPPY BIRTHDAY @jianhorng BAEHORNG @Changi Airport https://www. instagram.com/p/_rk_5NpNve/,,@jianhorng @Changi,#quantumsquad,680059240929751041,https://twitter.com/jacobjlau/status/680059240929751041,changi airport mrt station,changi airport
wisteria_49,2015-12-25 00:15:00,0,0,Cooking 떡볶이 stephenyauzh @ARC tampines https://www. instagram.com/p/_rlCeeChevBq ErOT6Qs7cspaWJO7J9zg1vxyQ0/ …,,@ARC,,680059325235261440,https://twitter.com/wisteria_49/status/680059325235261440,tampines mrt station,tampines
mrnasrf_,2015-12-25 00:16:00,0,0,baru kt yew tee,,,,680059542210646016,https://twitter.com/mrnasrf_/status/680059542210646016,yew tee mrt station,yew tee
_hogang,2015-12-25 00:16:00,0,0,@oneofus_a 저도 두근두근!!!! 후.... 통쟝.... 쪼일것도 없는데 더 쪼여봐야겠어요. 기쁘지만 슬픈 기붕..ㅋㅋ,,@oneofus_a,,680059369489223684,https://twitter.com/_hogang/status/680059369489223684,hougang mrt station,hougang
kenna_amia,2015-12-25 00:17:00,0,0,#merrychristmas #sg #2015 @Simei Street 1 Blk 113 https://www. instagram.com/p/_rlNuJt1fvB3 YxAdN7j6b_269uLcRdXRpelOc0/ …,,@Simei,#merrychristmas #sg #2015,680059706916892672,https://twitter.com/kenna_amia/status/680059706916892672,simei mrt station,simei
RyanGZY,2015-12-25 00:17:00,0,0,Merry Christmas #ootd #igsg #igers #nofilter #christmas @Gardens by the Bay https://www. instagram.com/p/_rlNJKu1UB/,,@Gardens,#ootd #igsg #igers #nofilter #christmas,680059688206110720,https://twitter.com/RyanGZY/status/680059688206110720,gardens by the bay mrt station,gardens by the bay
Abou_hikam,2015-12-25 00:19:00,0,0,5 tahun yg lalu ketika di syria bersama ustzh yg prnh mengajarku di aljunied ..,,,,680060122312261632,https://twitter.com/Abou_hikam/status/680060122312261632,aljunied mrt station,aljunied
