username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
bundoosanto,2016-03-08 00:00:00,0,0,Perjalanan hari ini panjang! Thanks God ♫ Hari Ini Juga by Once (with SuperMar at Jln Tanah Merah ) — https:// path.com/p/2rsGQn,,,,706872161990942720,https://twitter.com/bundoosanto/status/706872161990942720,tanah merah mrt station,tanah merah
NAZZAYY,2016-03-08 00:01:00,0,0,One of the best roti john here in yishun https:// twitter.com/str33t_ninja/s tatus/706844289028849665 …,,,,706872305096372224,https://twitter.com/NAZZAYY/status/706872305096372224,yishun mrt station,yishun
king4short,2016-03-08 00:01:00,0,0,I'm coming home..... (@Changi Airport Terminal 2 - @fansofchangi in Singapore) https://www. swarmapp.com/c/1crmWfyzDBT,,@Changi @fansofchangi,,706872355293937664,https://twitter.com/king4short/status/706872355293937664,changi airport mrt station,changi airport
Fragile_Boy94,2016-03-08 00:01:00,0,0,"@ngyanhong stagmont camp, chua Chu kang . Hahaha I still got scan and stuff. Delay here delay there I think surgery finish ORD lo",,@ngyanhong,,706872360138199040,https://twitter.com/Fragile_Boy94/status/706872360138199040,choa chu kang mrt station,chua chu kang
simei_774,2016-03-08 00:01:00,0,0,一番コンセント使ってるのがアンプっていう マイクアンプ DAC/ヘッドフォンアンプ D級アンプ*2 DAC兼ボリュームコントローラー,,,,706872301451550724,https://twitter.com/simei_774/status/706872301451550724,simei mrt station,simei
o_0Il,2016-03-08 00:01:00,0,0,I'm at Singapore @ChangiAirport (SIN) in Singapore https://www. swarmapp.com/c/33U42FD3Sy1,,@ChangiAirport,,706872487062192129,https://twitter.com/o_0Il/status/706872487062192129,changi airport mrt station,changi airport
simei_774,2016-03-08 00:01:00,0,0,モニタ2枚分もきつい,,,,706872461099315200,https://twitter.com/simei_774/status/706872461099315200,simei mrt station,simei
JREALYZ_,2016-03-08 00:03:00,0,0,"homeddd tired af (@我的家 in pasir ris , singapore) https://www. swarmapp.com/c/0V121TeSnpw",,@,,706872844039360512,https://twitter.com/JREALYZ_/status/706872844039360512,pasir ris mrt station,pasir ris
huykubon,2016-03-08 00:04:00,0,0,1 vài địa điểm sẽ được đi tham quan.......và còn nhiều nữa #changiairport #Singaporenightsafari #MBSshop ... http:// fb.me/7XZeWM8KL,,,#changiairport #Singaporenightsafari #MBSshop,706873279252799489,https://twitter.com/huykubon/status/706873279252799489,changi airport mrt station,changi airport
ChangiAirport,2016-03-08 00:06:00,0,0,@aj1_uk We apologize for the unpleasant experience. We have notified the respective department for their follow up. -CT,,@aj1_uk,,706873565207879680,https://twitter.com/ChangiAirport/status/706873565207879680,changi airport mrt station,changi airport
uSKualaSel,2016-03-08 00:07:00,3,1,Selangor Fa vs Tampines Rovers Fc Selasa | 8-3-2016 | 9.00 Malam Stadium MP Selayang #AllOut #Matchday ... http:// fb.me/2antHflev,,,#AllOut #Matchday,706873828450902017,https://twitter.com/uSKualaSel/status/706873828450902017,tampines mrt station,tampines
Greywolfx3,2016-03-08 00:07:00,0,0,I'm at Kent Ridge Park in Singapore https://www. swarmapp.com/c/h5eoTX9qzOt,,,,706873808171438080,https://twitter.com/Greywolfx3/status/706873808171438080,kent ridge mrt station,kent ridge
Naziruuul,2016-03-08 00:08:00,0,0,@Asdfghjklmeel power la. Come bedok okay. I treat you sushi,,@Asdfghjklmeel,,706874196576460800,https://twitter.com/Naziruuul/status/706874196576460800,bedok mrt station,bedok
airporthotelssg,2016-03-08 00:08:00,0,0,Airport Hotels in Singapore - Changi Airport Hotel check : https://www. youtube.com/watch?v=NUNj7_ w-Qow … ##airportHotelsinSingapore,,,# #airportHotelsinSingapore,706874049415094272,https://twitter.com/airporthotelssg/status/706874049415094272,changi airport mrt station,changi airport
NicoleFerri2000,2016-03-08 00:09:00,0,0,New EC in Sembawang http://www. newlaunch-condo.sg/visionaire-ec/,,,,706874307796840448,https://twitter.com/NicoleFerri2000/status/706874307796840448,sembawang mrt station,sembawang
Vndy_Rczcirv,2016-03-08 00:10:00,0,0,I miss kambing @Blk 714 Bedok Reservoir Road https://www. instagram.com/p/BCqHSoLNAAAU SOvp1L7iJwArpYSwVtjRO-ooVc0/ …,,@Blk,,706874767182307329,https://twitter.com/Vndy_Rczcirv/status/706874767182307329,bedok mrt station,bedok
ultraSel_SA,2016-03-08 00:11:00,18,1,#gempur #Matchday #SelangorDay #GegarAsia #PerlawananAkhir Selangor vs Tampines Rovers. Std MPS selayang. 9malam. pic.twitter.com/XVml3Bk1Sb,,,#gempur #Matchday #SelangorDay #GegarAsia #PerlawananAkhir,706874972585656320,https://twitter.com/ultraSel_SA/status/706874972585656320,tampines mrt station,tampines
