name,latitude,longitude,x_grid,y_grid
sungei buloh wetland reserve,1.4467195,103.7301489,23,3
the southern ridges,1.2801016,103.8029949,39,40
sota concert hall,1.298907,103.84871,49,36
upper seletar reservoir,1.3988664,103.7959574,38,14
jurong stadium,1.3331861,103.7192966,21,29
punggol park,1.3769623,103.8985194,60,19
leisure park kallang,1.3021872,103.8765059,56,35
tampines stadium,1.3532213,103.9403757,70,24
tekka centre,1.306251,103.850654,50,34
siloso beach,1.25425,103.81476,42,46
singapore conference hall,1.2762062,103.8489829,49,41
plaza singapura,1.3005239,103.84503,49,36
jurong east stadium,1.3467156,103.7299383,23,26
ang mo kio town garden west,1.3743925,103.8448705,49,19
clementi woods park,1.3016586,103.7667196,31,36
yio chu kang stadium,1.3827108,103.8465839,49,18
causeway point,1.4359844,103.7860127,36,6
madame tussauds singapore,1.2538878,103.8176412,43,46
ang mo kio town garden east,1.3707346,103.8502485,50,20
pasir ris town park,1.3733023,103.9523953,72,20
upper peirce reservoir,1.3743377,103.8111331,41,19
merlion park,1.2867892,103.8545014,51,39
west coast park,1.2918978,103.7657869,31,38
boat quay,1.2859963,103.8501608,50,39
sim lim square,1.303043,103.852921,50,35
kent ridge park,1.2838852,103.7912945,37,39
university cultural centre,1.3018212,103.7722354,33,35
palawan beach,1.2482777,103.8225374,44,47
esplanade theatre,1.289831,103.855827,51,38
mount faber park,1.2737864,103.8174964,43,42
lower peirce reservoir,1.3700154,103.8230752,44,20
lee foundation theatre,1.3011445,103.851901,50,36
kallang wave mall,1.3031838,103.8728625,55,35
singapore discovery centre,1.3326904,103.6789432,12,29
zepp@bigbox,1.3318799,103.7448812,27,29
artscience museum,1.2862738,103.8592663,52,39
changi beach park,1.3909433,103.9920554,81,16
jurong lake,1.3418479,103.7281926,23,27
bedok reservoir,1.3413025,103.9245499,66,27
jurong bird park,1.3187065,103.7064417,18,32
toa payoh stadium,1.3303137,103.8529676,50,29
bukit timah hill,1.3548163,103.7762985,33,24
jurong west stadium,1.338555,103.6949249,16,27
bukit gombak stadium,1.3582504,103.7536462,29,23
national gallery singapore,1.289704,103.851285,50,38
telok blangah hill park,1.278877,103.813289,42,41
singapore zoo,1.4043485,103.793023,37,13
bedok town park,1.3349078,103.9238184,66,28
far east plaza,1.307145,103.833646,46,34
marina bay floating platform,1.288153,103.859028,52,38
singapore national stadium,1.3043297,103.8743375,55,35
national museum of singapore,1.2966375,103.8486646,49,37
bedok mall,1.3243582,103.9286897,67,30
