username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
Mhthr,2013-06-05 00:00:00,0,0,This friday? Anyone at bedok cc?,,,,341947590046277633,https://twitter.com/Mhthr/status/341947590046277633,bedok mrt station,bedok
mueez098,2013-06-05 00:00:00,0,0,"otak dia.. dah pukul 11 lebih bhaii, kau nk gi amik skrng ke siuut, aku malas lah urm.. masuk jalan besar nnti sejup dohh nnti :(",,,,341947521842675713,https://twitter.com/mueez098/status/341947521842675713,jalan besar mrt station,jalan besar
daitejohnnys,2013-06-05 00:00:00,0,0,@seonniee_91 Hi! The file is here :) Are you free to meet up this saturday at Bishan MRT 5pm??,,@seonniee_91,,341947600196497410,https://twitter.com/daitejohnnys/status/341947600196497410,bishan mrt station,bishan
Jilf_,2013-06-05 00:01:00,0,0,"@fushzxc later go pasir check lo, if don hav i try go pasir ris help u ask",,@fushzxc,,341947702713671680,https://twitter.com/Jilf_/status/341947702713671680,pasir ris mrt station,pasir ris
firdausooooo,2013-06-05 00:01:00,0,0,Abang wanjebon so hardworking washing his motorbike @Blk 256 Ang Mo Kio Avenue 4 http:// instagram.com/p/aJJmfYjYow/,,@Blk,,341947947849773057,https://twitter.com/firdausooooo/status/341947947849773057,ang mo kio mrt station,ang mo kio
bell4fox,2013-06-05 00:01:00,0,0,@PredicxNero i know. I thought of finisng at marsiling . Sana all cheap cheap and also can be trusted one.,,@PredicxNero,,341947877603545089,https://twitter.com/bell4fox/status/341947877603545089,marsiling mrt station,marsiling
ZamDubstep,2013-06-05 00:01:00,0,0,@Hakiim_ @sayed_heygirl kat tampines tau. Pagi,,@Hakiim_ @sayed_heygirl,,341947751946391553,https://twitter.com/ZamDubstep/status/341947751946391553,tampines mrt station,tampines
dxxnneez,2013-06-05 00:02:00,0,0,@ohcherz HAHAHAHA HIS MARSILING AT JB SIA,,@ohcherz,,341948104637022208,https://twitter.com/dxxnneez/status/341948104637022208,marsiling mrt station,marsiling
HaeqalStark,2013-06-05 00:03:00,0,0,@Hakiim_ jom dtg tampines ah hahaha,,@Hakiim_,,341948396833226752,https://twitter.com/HaeqalStark/status/341948396833226752,tampines mrt station,tampines
syawwahafiz,2013-06-05 00:03:00,0,0,"pukul berapa la smpai Seri Iskandar esok,pkul 12 bru kt Tanah Merah .. ohh #transnasional",,,#transnasional,341948238854758403,https://twitter.com/syawwahafiz/status/341948238854758403,tanah merah mrt station,tanah merah
