username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
Julia26275,2013-02-28 08:00:00,0,0,"STAR Deal - 90% OFF!! Pay Only $3 for $30 Cash Voucher at Paulaner, Clarke Quay ! View details ==>... http:// fb.me/2pF1lyF4m",,,,306916650370887680,https://twitter.com/Julia26275/status/306916650370887680,clarke quay mrt station,clarke quay
HougangHOOLs,2013-02-28 08:00:00,0,0,Been too long since we've played at Hougang stadium? Let them know it's too long then! Shawn http:// fb.me/xnWcZtd5,,,,306916846538457088,https://twitter.com/HougangHOOLs/status/306916846538457088,hougang mrt station,hougang
ShiokDeal,2013-02-28 08:00:00,0,0,SGD 16 instead of SGD 80 for 1 Session of Brazilian Waxing near Bugis MRT http:// bit.ly/12LcU88,,,,306916629806194688,https://twitter.com/ShiokDeal/status/306916629806194688,bugis mrt station,bugis mrt
Weijiann_,2013-02-28 08:00:00,0,0,Cross Country WALK WALK WALK ~ (@Bedok Reservoir Park w/ 3 others) http:// 4sq.com/WscpZJ,,@Bedok,,306916717739782145,https://twitter.com/Weijiann_/status/306916717739782145,bedok mrt station,bedok
_h4irul,2013-02-28 08:00:00,1,0,so sick n tired going back thru and fro to bedok -_-,,,,306916811801231360,https://twitter.com/_h4irul/status/306916811801231360,bedok mrt station,bedok
YungHsien,2013-02-28 08:01:00,0,0,Stupid train going towards Joo koon always have a lot of ppl .,,,,306917077132910592,https://twitter.com/YungHsien/status/306917077132910592,joo koon mrt station,joo koon
onemanatatime,2013-02-28 08:01:00,0,0,I'm at Tanah Merah Ferry Terminal (Singapore) http:// 4sq.com/13m7OQg,,,,306916915538952192,https://twitter.com/onemanatatime/status/306916915538952192,tanah merah mrt station,tanah merah
wannnnnnnnnnnn_,2013-02-28 08:01:00,0,0,finally at tanah merah .,,,,306917061160992768,https://twitter.com/wannnnnnnnnnnn_/status/306917061160992768,tanah merah mrt station,tanah merah
shahrinsaberin,2013-02-28 08:01:00,0,0,Report 815 at bedok reservoir but im still waiting for bus at amk interchange,,,,306917122108432384,https://twitter.com/shahrinsaberin/status/306917122108432384,bedok mrt station,bedok
HougangHOOLs,2013-02-28 08:02:00,0,0,"Another video of the HOOLs singing Satu Hati, Satu Hougang ! (Video by Didi) Shawn http:// fb.me/2v1dTAWO3",,,,306917241469931520,https://twitter.com/HougangHOOLs/status/306917241469931520,hougang mrt station,hougang
shuyingthegreat,2013-02-28 08:02:00,0,0,@zelmunyee Lol. Choa Chu kang .,,@zelmunyee,,306917150252216320,https://twitter.com/shuyingthegreat/status/306917150252216320,choa chu kang mrt station,choa chu kang
cheapcheapasia,2013-02-28 08:03:00,0,0,Magnify Your Beauty with a 2.5 Hour Makeup Workshop at Eucalyptus Beauty in Tanjong Pagar (Worth $80). Two Pax Option Available…,,,,306917543615025152,https://twitter.com/cheapcheapasia/status/306917543615025152,tanjong pagar mrt station,tanjong pagar
ZikriElectroz,2013-02-28 08:03:00,0,0,Otw to bedok,,,,306917607339065345,https://twitter.com/ZikriElectroz/status/306917607339065345,bedok mrt station,bedok
tanwb95,2013-02-28 08:04:00,0,0,I'm at Tampines Bus Interchange (Singapore) w/ 3 others http:// 4sq.com/XHd4qg,,,,306917736980824064,https://twitter.com/tanwb95/status/306917736980824064,tampines mrt station,tampines
IrfanSsshakeel,2013-02-28 08:04:00,0,0,Virgin trip to ITE Simei,,,,306917644022448128,https://twitter.com/IrfanSsshakeel/status/306917644022448128,simei mrt station,simei
johntkw_,2013-02-28 08:04:00,0,0,I'm at Punggol Secondary School (Singapore) http:// 4sq.com/XDuuY6,,,,306917837413437441,https://twitter.com/johntkw_/status/306917837413437441,punggol mrt station,punggol
eroolshahirul,2013-02-28 08:05:00,0,0,Supposedly be at Bedok Reservoir @8 but since someone underestimated the timing from my place therefore fashionably late. OMW,,@8,,306917964882522113,https://twitter.com/eroolshahirul/status/306917964882522113,bedok mrt station,bedok
Asepachil117,2013-02-28 08:05:00,0,0,Gagang bedok mereun :D RT @fardiansyah25 : Gagang golok @cepodhalfian: Naona tah nu gede fan :D RT @fardiansyah25 : Biar gede :D @cepodhalfian:,,@fardiansyah25 @cepodhalfian @fardiansyah25 @cepodhalfian,,306917894493720576,https://twitter.com/Asepachil117/status/306917894493720576,bedok mrt station,bedok
aminelmj,2013-02-28 08:06:00,0,0,""" @cherrkotaii : Hahaha currently @serangoon sheng siong zzzzzzz need the toilet"" sempat pe haha",,@cherrkotaii @serangoon,,306918304256249856,https://twitter.com/aminelmj/status/306918304256249856,serangoon mrt station,serangoon
shaastevex,2013-02-28 08:07:00,0,0,@DaNyOBailey platform or ? I at sembawang lei hahahaha,,@DaNyOBailey,,306918508258791424,https://twitter.com/shaastevex/status/306918508258791424,sembawang mrt station,sembawang
GraphicJungle,2013-02-28 08:08:00,0,0,"Gardens By The Bay , Singapore http:// pinterest.com/pin/2691605152 01738547/ …",,,,306918779122765825,https://twitter.com/GraphicJungle/status/306918779122765825,gardens by the bay mrt station,gardens by the bay
avianamae,2013-02-28 08:08:00,0,0,"Tampines poly under renovation , so the temporary place at geylang why not woodlands ?",,,,306918757396267009,https://twitter.com/avianamae/status/306918757396267009,tampines mrt station,tampines
JunwenVsJerry,2013-02-28 08:09:00,0,0,Felt so out of place heading to NTU from Tanah Merah . Woodlands guy here yo!,,,,306918935247335425,https://twitter.com/JunwenVsJerry/status/306918935247335425,tanah merah mrt station,tanah merah
fairul6991,2013-02-28 08:09:00,0,0,"And so, clementi fire station turn out for yestesday vehicle fire #Ferrari",,,#Ferrari,306918893367201792,https://twitter.com/fairul6991/status/306918893367201792,clementi mrt station,clementi station
streetdirectory,2013-02-28 08:10:00,0,0,"Three hawker centres will be closed for upgrading works 1 March 2013 They are at; a. Block 6, Tanjong Pagar ... http:// fb.me/2mTVOiHTN",,,,306919173177614336,https://twitter.com/streetdirectory/status/306919173177614336,tanjong pagar mrt station,tanjong pagar
ChangiAirport,2013-02-28 08:11:00,0,0,RT @miraguzman : Weigh your baggage before going to the airport. Be at the airport at least two hours before flight schedule. #TravelTips -K,,@miraguzman,#TravelTips,306919488501202944,https://twitter.com/ChangiAirport/status/306919488501202944,changi airport mrt station,changi airport
Irshaaaddd,2013-02-28 08:11:00,0,0,@SummerDisregard You can meet me at woodlands mrt ? Then you come to my house? Cause hammie is coming to do his hair.,,@SummerDisregard,,306919624631521282,https://twitter.com/Irshaaaddd/status/306919624631521282,woodlands mrt station,woodlands mrt
Jeffreytaykh,2013-02-28 08:12:00,0,0,Last day of school for this week. (@ITE College Central ( Ang Mo Kio Campus) w/ @sora_gms ) http:// 4sq.com/YGmjui,,@ITE @sora_gms,,306919680076025856,https://twitter.com/Jeffreytaykh/status/306919680076025856,ang mo kio mrt station,ang mo kio
zelmystified,2013-02-28 08:12:00,0,0,@shuyingthegreat @zxbenjaminxz I reach yishun about 9pm+,,@shuyingthegreat @zxbenjaminxz,,306919672387878912,https://twitter.com/zelmystified/status/306919672387878912,yishun mrt station,yishun
AusBT,2013-02-28 08:13:00,0,1,"RT @jonharules : Changi Airport , bless you and your free foot massage chairs http:// tinyurl.com/ceynf4m @FansofChangi #Singapore #travel",,@jonharules @FansofChangi,#Singapore #travel,306919955016867840,https://twitter.com/AusBT/status/306919955016867840,changi airport mrt station,changi airport
ArvinHonami,2013-02-28 08:13:00,0,0,I'm at Ang Mo Kio Bus Interchange (Singapore) http:// 4sq.com/YAAYmC,,,,306920063053737984,https://twitter.com/ArvinHonami/status/306920063053737984,ang mo kio mrt station,ang mo kio
