username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
HeelChinny,2013-06-16 00:00:00,0,0,@HeelVikhramC @Nicholas_IsMe next week drive to Bedok Simpang eat uh steadz,,@HeelVikhramC @Nicholas_IsMe,,345933848405762052,https://twitter.com/HeelChinny/status/345933848405762052,bedok mrt station,bedok
rxsicano,2013-06-16 00:00:00,0,0,@VegetaFyq yup.. bishan active park,,@VegetaFyq,,345933961882660864,https://twitter.com/rxsicano/status/345933961882660864,bishan mrt station,bishan
AfmKld,2013-06-16 00:00:00,0,0,@Khaireeyah tell him dont pancing at tanah merah nye longkang.,,@Khaireeyah,,345933916345073664,https://twitter.com/AfmKld/status/345933916345073664,tanah merah mrt station,tanah merah
yongyichuaaa,2013-06-16 00:00:00,1,0,“@onlyyian: jurong east mall. i just got it. :O” OMG SAME WHATTTT,,@onlyyian,,345933761327812609,https://twitter.com/yongyichuaaa/status/345933761327812609,jurong east mrt station,jurong east
sherrieneo,2013-06-16 00:01:00,0,0,Slept in the mrt all the way back to woodlands just now hahahaha,,,,345934090169626625,https://twitter.com/sherrieneo/status/345934090169626625,woodlands mrt station,woodlands mrt
DementClothing,2013-06-16 00:01:00,0,1,@Nur_Husnxna have u heard 14 year kid go spooked by a ghost in yishun ? Last week,,@Nur_Husnxna,,345934058381008898,https://twitter.com/DementClothing/status/345934058381008898,yishun mrt station,yishun
JinggDaaa,2013-06-16 00:02:00,0,0,"@shannentannn that's a great idea! will make myself free, too many people asking me to meetup ehh cause gf living at bukit batok ma!!!",,@shannentannn,,345934234634055680,https://twitter.com/JinggDaaa/status/345934234634055680,bukit batok mrt station,bukit batok
minyigno,2013-06-16 00:02:00,0,0,I'm at Jalan Ikan Merah @Upper Thomson Road (Singapore) http:// 4sq.com/11o8JdK,,@Upper,,345934452553306112,https://twitter.com/minyigno/status/345934452553306112,upper thomson mrt station,upper thomson
Khaireeyah,2013-06-16 00:02:00,0,0,@AfmKld whyy? tanah merah got longkang meh? i dont know where it is..hah,,@AfmKld,,345934327374303232,https://twitter.com/Khaireeyah/status/345934327374303232,tanah merah mrt station,tanah merah
faiz_hisham,2013-06-16 00:02:00,0,0,"Kk "" SEMBAWANG !"" HAHAHA!",,,,345934398392238080,https://twitter.com/faiz_hisham/status/345934398392238080,sembawang mrt station,sembawang
rochorbeancurd,2013-06-16 00:02:00,0,0,The clock just strike 12 mid night! Rochor Beancurd House like to wish every dad a Happy Father's Day! #rochorbeancurd #fb,,,#rochorbeancurd #fb,345934264770101249,https://twitter.com/rochorbeancurd/status/345934264770101249,rochor mrt station,rochor
ASALVI77,2013-06-16 00:03:00,0,2,@FansofChangi is alwais a plesure travel in this fantastic aiport . I love Changi airport,,@FansofChangi,,345934557297659905,https://twitter.com/ASALVI77/status/345934557297659905,changi airport mrt station,changi airport
DementClothing,2013-06-16 00:03:00,0,0,"@JocelynLah__ @imALFY_ not lame as JB, you heard about the spooky 14 year old kid last week in yishun ?",,@JocelynLah__ @imALFY_,,345934488553025536,https://twitter.com/DementClothing/status/345934488553025536,yishun mrt station,yishun
methaer,2013-06-16 00:03:00,0,0,"Ayooo,mumpung mood jalan besar cekalii nihh.. Haha""@tyasstyrn: @methaer @rinbel ciyuss met. Kita pilih pilih aja filmnya haha""",,@tyasstyrn @methaer @rinbel,,345934650843226112,https://twitter.com/methaer/status/345934650843226112,jalan besar mrt station,jalan besar
power98kim,2013-06-16 00:03:00,0,0,@zulheardB4 so what kind of happening event was going on in Tampines,,@zulheardB4,,345934702932267008,https://twitter.com/power98kim/status/345934702932267008,tampines mrt station,tampines
aztgiler,2013-06-16 00:03:00,0,0,Tmrw soccer kt sembawang ehkkk jauh peeee,,,,345934590394912769,https://twitter.com/aztgiler/status/345934590394912769,sembawang mrt station,sembawang
kiragnia,2013-06-16 00:03:00,0,0,@Idenada kerupuk jatoh ke tanah merah . 8D,,@Idenada,,345934574288793600,https://twitter.com/kiragnia/status/345934574288793600,tanah merah mrt station,tanah merah
AbelyAbell,2013-06-16 00:04:00,0,0,Man... The mrt was packed... No place to sit.. :/ burnt my feet away... All the way from kovan !!,,,,345934895119495171,https://twitter.com/AbelyAbell/status/345934895119495171,kovan mrt station,kovan mrt
