username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
CS_Sumin,2013-03-21 00:00:00,0,0,@TSC_SongAhri [[ LOL!! Sembawang to BoonLay.. -cries- ]],,@TSC_SongAhri,,314406196415176704,https://twitter.com/CS_Sumin/status/314406196415176704,sembawang mrt station,sembawang
RusyaidiBMZ,2013-03-21 00:00:00,0,0,Do it for Pasir Ris ~ I mean Baltimore,,,,314406035223871489,https://twitter.com/RusyaidiBMZ/status/314406035223871489,pasir ris mrt station,pasir ris
_Zaix_,2013-03-21 00:00:00,0,0,@zulcamy aku terserempak dier kt pasir ris park pasal actually aku tk leh bwk kwn abeh last min dier dtg sorry uh,,@zulcamy,,314406101955264513,https://twitter.com/_Zaix_/status/314406101955264513,pasir ris mrt station,pasir ris
wuyunhsiu,2013-03-21 00:00:00,0,0,Too engrossed in running that I forgot there's no train back from punggol . Hahahah taking the midnight bus now.,,,,314406078706229250,https://twitter.com/wuyunhsiu/status/314406078706229250,punggol mrt station,punggol
ayelmon,2013-03-21 00:01:00,0,0,I'm at Extreme Swing GX 5 Clarke Quay http:// 4sq.com/100d7zo,,,,314406331530489856,https://twitter.com/ayelmon/status/314406331530489856,clarke quay mrt station,clarke quay
RODZ2058,2013-03-21 00:01:00,1,0,"Home and (or) Away: William Kentridge creating video animation for “Breathe” (2008) in his studio, Johannesbur... http:// bit.ly/11fFIly",,,,314406416729374720,https://twitter.com/RODZ2058/status/314406416729374720,kent ridge mrt station,kent ridge
MiguelOsioZ,2013-03-21 00:01:00,0,0,"Home and (or) Away: William Kentridge creating video animation for “Breathe” (2008) in his studio, Johannesbur... http:// bit.ly/11fFIly",,,,314406422689488896,https://twitter.com/MiguelOsioZ/status/314406422689488896,kent ridge mrt station,kent ridge
cookiesbryan,2013-03-21 00:01:00,0,0,Someone bedok 85 with me NOW!,,,,314406354171342849,https://twitter.com/cookiesbryan/status/314406354171342849,bedok mrt station,bedok
Nur_Nxdixh,2013-03-21 00:02:00,0,0,Esk cam nk gi yishun library ..,,,,314406707826659328,https://twitter.com/Nur_Nxdixh/status/314406707826659328,yishun mrt station,yishun
damitalmira,2013-03-21 00:02:00,0,0,"In cousins we trust iyeee apa kata lo deh (with @sminakajel , Lisa, and Eril at @ClarkeQuay ) [pic] — http:// path.com/p/4vwOnb",,@sminakajel @ClarkeQuay,,314406618173419520,https://twitter.com/damitalmira/status/314406618173419520,clarke quay mrt station,clarke quay
BayAreaConnect1,2013-03-21 00:03:00,0,0,"Roadshow: From Devils Slide to Caldecott Tunnel, a year of major changes on Bay Area roads: Bay Bridge and Gol... http:// bit.ly/YXkMPW",,,,314406885816160256,https://twitter.com/BayAreaConnect1/status/314406885816160256,caldescott mrt station,caldescott
damitalmira,2013-03-21 00:04:00,0,0,Orang alig dateng (with Lisa at 海底捞 clarke Quay ) [pic] — http:// path.com/p/1pZZj7,,,,314407212321734656,https://twitter.com/damitalmira/status/314407212321734656,clarke quay mrt station,clarke quay
simrayyyy,2013-03-21 00:04:00,0,0,"@ernestkhoo for 5n only , my result so cui even yishun and innova dunwan me",,@ernestkhoo,,314407160975077377,https://twitter.com/simrayyyy/status/314407160975077377,yishun mrt station,yishun
yananzri,2013-03-21 00:04:00,0,0,Friday netball training at kallang,,,,314407097259405312,https://twitter.com/yananzri/status/314407097259405312,kallang mrt station,kallang
ijie_Hafizi,2013-03-21 00:04:00,0,0,bedok .. ooo bedok ? mne bedok ? tido dh ke?,,,,314407022927962113,https://twitter.com/ijie_Hafizi/status/314407022927962113,bedok mrt station,bedok
xllhx,2013-03-21 00:04:00,0,0,@Jieqi_lotts bukit Gombak ?,,@Jieqi_lotts,,314407165911781377,https://twitter.com/xllhx/status/314407165911781377,bukit gombak mrt station,bukit gombak
liyanaroz,2013-03-21 00:05:00,1,0,ah gg siglap tmr,,,,314407303807913984,https://twitter.com/liyanaroz/status/314407303807913984,siglap mrt station,siglap
AzanFreeAllTheT,2013-03-21 00:05:00,0,0,@chennwei wtf u at Tampines ? Simitaijii??,,@chennwei,,314407448125526018,https://twitter.com/AzanFreeAllTheT/status/314407448125526018,tampines mrt station,tampines
chennwei,2013-03-21 00:05:00,0,0,@InnaLamberts Tampines,,@InnaLamberts,,314407259780304896,https://twitter.com/chennwei/status/314407259780304896,tampines mrt station,tampines
_Bwzh,2013-03-21 00:05:00,0,0,I'm at Punggol Billiards w/ @soaringhighh http:// 4sq.com/Y5Jz7H,,@soaringhighh,,314407362666565632,https://twitter.com/_Bwzh/status/314407362666565632,punggol mrt station,punggol
shakayourheart,2013-03-21 00:05:00,0,0,@Cikgu_Ariston only in Toa payoh,,@Cikgu_Ariston,,314407235558191104,https://twitter.com/shakayourheart/status/314407235558191104,toa payoh mrt station,toa payoh
joanneeewanggg,2013-03-21 00:06:00,0,0,Only finished bedok town's gift.... :(,,,,314407651092070401,https://twitter.com/joanneeewanggg/status/314407651092070401,bedok mrt station,bedok
_aslamismail,2013-03-21 00:06:00,0,0,@mdshfrhm come tampines then can get hahahah,,@mdshfrhm,,314407631332732930,https://twitter.com/_aslamismail/status/314407631332732930,tampines mrt station,tampines
LEHCHEL,2013-03-21 00:06:00,0,0,@heyhinabil Yes. At tampines 1.,,@heyhinabil,,314407542816129025,https://twitter.com/LEHCHEL/status/314407542816129025,tampines mrt station,tampines
ijie_Hafizi,2013-03-21 00:07:00,0,0,xde cite la bedok .. nnti aq g jb aq cite.. hahah,,,,314407851953094657,https://twitter.com/ijie_Hafizi/status/314407851953094657,bedok mrt station,bedok
kensgoh,2013-03-21 00:08:00,0,0,@lyepohthegreat oh then not liao.. tanjong pagar haha,,@lyepohthegreat,,314408131784482816,https://twitter.com/kensgoh/status/314408131784482816,tanjong pagar mrt station,tanjong pagar
DARINECHOO98,2013-03-21 00:08:00,0,0,wanna go jcube to skate cuz the skates there are way much prettier than Kallang 's.... and i love the white skates><,,,,314408143369150464,https://twitter.com/DARINECHOO98/status/314408143369150464,kallang mrt station,kallang
AzanFreeAllTheT,2013-03-21 00:08:00,0,0,@chennwei i go take taxi go tampines pick u up??,,@chennwei,,314408049454493698,https://twitter.com/AzanFreeAllTheT/status/314408049454493698,tampines mrt station,tampines
exprnza,2013-03-21 00:09:00,0,0,Tampines no have pasar malam,,,,314408277729492992,https://twitter.com/exprnza/status/314408277729492992,tampines mrt station,tampines
umartakwa,2013-03-21 00:10:00,0,0,KALLANG RT @yuddhii ARAH!!! RT @Asruuuul : KELAM!!! RT @umarberacun: HITAM!!! :D,,@yuddhii @Asruuuul @umarberacun,,314408570588364800,https://twitter.com/umartakwa/status/314408570588364800,kallang mrt station,kallang
Petopianworld,2013-03-21 00:10:00,0,0,A 12-year old male Singapura cat was last seen from his home at Blk 165 Simei Road on 16 Feb 2013 at 3pm. He has... http:// fb.me/1C4JzGBGp,,,,314408642571030528,https://twitter.com/Petopianworld/status/314408642571030528,simei mrt station,simei
AndryRiandy,2013-03-21 00:10:00,0,1,Step kat Bedok je @_DoubleCaramel_ :b,,@_DoubleCaramel_,,314408647184760833,https://twitter.com/AndryRiandy/status/314408647184760833,bedok mrt station,bedok
